Gene,disease_list
ABCC1,"{'Deafness, autosomal dominant, 77 (DFNA77) [MIM'}"
ADRB3,set()
EPHA7,"{'Brachydactyly D (BDD) [MIM', 'Colorectal cancer (CRC) [MIM', 'Prostate cancer (PC) [MIM', 'Note=Defects in NTRK3 are associated with susceptibility to congenital heart defects (CHD). A disease characterized by congenital developmental abnormalities involving structures of the heart. CHD are the most common major birth defects and the leading cause of death from congenital malformations. {ECO', 'Brain abnormalities, neurodegeneration, and dysosteosclerosis (BANDDOS) [MIM', 'Lymphatic malformation 7 (LMPHM7) [MIM', 'DISEASE: Note=Aberrant expression of CSF1 or CSF1R may play a role in inflammatory diseases, such as rheumatoid arthritis, glomerulonephritis, atherosclerosis, and allograft rejection.', 'Brachydactyly-syndactyly-oligodactyly syndrome (BDSDO) [MIM', 'Fraser syndrome 3 (FRASRS3) [MIM', 'Cataract 6, multiple types (CTRCT6) [MIM', 'Bleeding disorder, platelet-type, 22 (BDPLT22) [MIM', 'Brachydactyly-syndactyly syndrome (BDSD) [MIM', 'Syndactyly 5 (SDTY5) [MIM', 'Note=Overexpressed in several cancer types and promotes malignancy. {ECO', 'Synpolydactyly 1 (SPD1) [MIM', 'VACTERL association (VACTERL) [MIM', 'Brachydactyly E1 (BDE1) [MIM', 'Capillary malformation-arteriovenous malformation 2 (CMAVM2) [MIM', 'DISEASE: Note=Aberrant expression of CSF1 or CSF1R can promote cancer cell proliferation, invasion and formation of metastases. Overexpression of CSF1 or CSF1R is observed in a significant percentage of breast, ovarian, prostate, and endometrial cancers.', 'Leukoencephalopathy, hereditary diffuse, with spheroids 1 (HDLS1) [MIM'}"
HTR2B,"{'Intellectual developmental disorder, autosomal dominant 42 (MRD42) [MIM', 'Parkinsonism-dystonia 1, infantile-onset (PKDYS1) [MIM', 'Hydrocephalus, congenital, 2, with or without brain or eye anomalies (HYC2) [MIM', 'Brunner syndrome (BRNRS) [MIM'}"
MGMT,set()
MMP2,"{'Metaphyseal anadysplasia 1 (MANDP1) [MIM', 'Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 2 (SSFSC2) [MIM', 'Cutis laxa, autosomal recessive, 1B (ARCL1B) [MIM', 'Spondyloepimetaphyseal dysplasia, short limb-hand type (SEMD-SL) [MIM', 'Cerebral palsy, spastic quadriplegic 3 (CPSQ3) [MIM', 'Hypogonadotropic hypogonadism 13 with or without anosmia (HH13) [MIM', 'Multicentric osteolysis, nodulosis, and arthropathy (MONA) [MIM', 'Fibromuscular dysplasia, multifocal (FMDMF) [MIM', 'Warburg-Cinotti syndrome (WRCN) [MIM', 'Winchester syndrome (WNCHRS) [MIM', 'Donnai-Barrow syndrome (DBS) [MIM', 'Metaphyseal dysplasia, Spahr type (MDST) [MIM', 'Ehlers-Danlos syndrome, classic type, 1 (EDSCL1) [MIM', 'Spondyloepimetaphyseal dysplasia, Missouri type (SEMDM) [MIM'}"
NOS2,"{'Argininosuccinic aciduria (ARGINSA) [MIM', 'Note=Defects in MYD88 are frequently found in many hematological malignancies, such as activated B-cell type diffuse large B-cell lymphoma (ABC-DLBCL), cutaneous diffuse large B cell lymphoma (CBCL) and primary central nervous system lymphoma (PCNSL). {ECO', 'Macroglobulinemia, Waldenstrom, 1 (WM1) [MIM', 'Gastric cancer (GASC) [MIM', 'Note=A chromosomal aberration involving CD74 is found in a non-small cell lung tumor. Results in the formation of a CD74-ROS1 chimeric protein. {ECO', 'Immunodeficiency 68 (IMD68) [MIM', 'Cholestasis, progressive familial intrahepatic, 5 (PFIC5) [MIM', 'Note=A chromosomal aberration involving EIF4E has been found in a patient with classic autism. Translocation t(45)(q23q31.3). The breakpoint on chromosome 4 is located 56 kb downstream of EIF4E (PubMed', 'Hemangioma, capillary infantile (HCI) [MIM', 'Note=May be involved in cholesterol cholelithiasis. {ECO', 'Citrullinemia 1 (CTLN1) [MIM', 'Autism 19 (AUTS19) [MIM', 'Note=May be involved in intrahepatic cholestasis of pregnancy. {ECO', 'Nephrolithiasis/osteoporosis, hypophosphatemic, 2 (NPHLOP2) [MIM', 'Immunodeficiency 117 (IMD117) [MIM', 'Leptin deficiency (LEPD) [MIM', ""DISEASE: Note=Plays a major role in tumor angiogenesis. In case of HIV-1 infection, the interaction with extracellular viral Tat protein seems to enhance angiogenesis in Kaposi's sarcoma lesions.""}"
OXA1L,"{'Neurodevelopmental disorder with dysmorphic facies, sleep disturbance, and brain abnormalities (NEDFASB) [MIM', 'Developmental and epileptic encephalopathy 56 (DEE56) [MIM', 'Optic atrophy 7 with or without auditory neuropathy (OPA7) [MIM'}"
TNF,"{'Immunodeficiency with hyper-IgM, type 1 (HIGM1) [MIM', 'symmetrical polyarthritis characterized by a rheumatoid like pattern that can involve hands, wrists, ankles, and feet', 'Psoriatic arthritis (PSORAS) [MIM', 'arthritis mutilans, which is a rare but deforming and destructive condition', 'Inflammatory skin and bowel disease, neonatal, 1 (NISBD1) [MIM', 'arthritis of the sacroiliac joints and spine (psoriatic spondylitis). {ECO:0000269|PubMed:12746914}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.', 'Osteopetrosis, autosomal recessive 2 (OPTB2) [MIM', 'Systemic lupus erythematosus (SLE) [MIM', 'Lymphoproliferative syndrome 3 (LPFS3) [MIM', 'asymmetrical arthritis which involves the joints of the extremities', 'Autoimmune lymphoproliferative syndrome 1B (ALPS1B) [MIM'}"
TPMT,{'Developmental and epileptic encephalopathy 56 (DEE56) [MIM'}
