Gene,disease_list
APEH,set()
CYP3A7,set()
EDNRB,"{'Auriculocondylar syndrome 3 (ARCND3) [MIM', '14)(q11', 'Pheochromocytoma (PCC) [MIM', 'q11.2) with TRIM27/RFP generates the Delta RFP/RET oncogene (PubMed:12787916). Translocation t(1', 'Multiple neoplasia 2A (MEN2A) [MIM', 'Melanoma, cutaneous malignant 8 (CMM8) [MIM', '10)(p21.3', 'Hirschsprung disease 2 (HSCR2) [MIM', 'q21) generates the RET/CCDC6 (PTC1) oncogene (PubMed:2406025). Inversion inv(10)(q11.2', 'Waardenburg syndrome 4A (WS4A) [MIM', 'Question mark ears, isolated (QME) [MIM', 'q11.2) with PCM1 generates the PCM1/RET fusion (PubMed:10980597). Translocation t(6', 'q11.2) with TRIM27/RFP generates the TRIM27/RET oncogene (PubMed:3037315). {ECO:0000269|PubMed:10439047, ECO:0000269|PubMed:10980597, ECO:0000269|PubMed:12787916, ECO:0000269|PubMed:2406025, ECO:0000269|PubMed:2734021, ECO:0000269|PubMed:3037315}.', 'q11.2) generates the RET/NCOA4 (PTC3) oncogene. Translocation t(10', 'Note=Mutations in RET have been detected in patients with renal agenesis suggesting a possible involvement of this gene in disease pathogenesis. {ECO', 'Note=Variations affecting this gene are associated with susceptibility to pheochromocytomas and paragangliomas, rare neural crest-derived tumors with an approximate incidence of 1', 'Coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness (COMMAD) [MIM', 'Note=Various chromosomal aberrations involving RET are known. Some of them have been found in papillary thyroid carcinomas (PTCs) (PubMed', '10)(p13', 'Tietz albinism-deafness syndrome (TADS) [MIM', 'q11) with TRIM33 generates the TRIM33/RET (PTC7) oncogene (PubMed:10439047). Translocation t(7', 'Medullary thyroid carcinoma (MTC) [MIM', 'q32) with GOLGA5 generates the RET/GOLGA5 (PTC5) oncogene (PubMed:2734021). Translocation t(8', '10)(q32', 'Hirschsprung disease 1 (HSCR1) [MIM', 'q11) with TRIM24/TIF1 generates the TRIM24/RET (PTC6) oncogene (PubMed:10439047). Translocation t(6', 'ABCD syndrome (ABCDS) [MIM', 'Waardenburg syndrome 2A (WS2A) [MIM', 'Hirschsprung disease 4 (HSCR4) [MIM', 'Multiple neoplasia 2B (MEN2B) [MIM', 'Waardenburg syndrome 4B (WS4B) [MIM', 'Note=Heterozygous mutations in EDNRB may be responsible for Waardenburg syndrome 2, an autosomal dominant disorder characterized by sensorineural deafness and pigmentary disturbances. {ECO'}"
EPHX2,set()
GOPC,"{'Microphthalmia/Coloboma 11 (MCOPCB11) [MIM', 'Neurodevelopmental disorder with hypotonia and brain abnormalities (NEDHYBA) [MIM', 'Note=A chromosomal aberration involving ROS1 is found in a glioblastoma multiforme sample. An intra-chromosomal deletion del(6)(q21q21) is responsible for the formation of GOPC-ROS1 chimeric protein which is localized to the Golgi and has a constitutive receptor tyrosine kinase activity. A SLC34A2-ROS1 chimeric protein produced in non-small cell lung cancer cells also retains a constitutive kinase activity. A third type of chimeric protein CD74-ROS1 was also identified in those cells. {ECO', 'Neurodevelopmental disorder with seizures and brain abnormalities (NEDSBA) [MIM', 'Cystic fibrosis (CF) [MIM', 'Congenital bilateral absence of the vas deferens (CBAVD) [MIM', 'Note=A chromosomal aberration involving GOPC is found in a glioblastoma multiforme sample. An intra-chromosomal deletion del(6)(q21q21) is responsible for the formation of GOPC-ROS1 chimeric protein which has a constitutive receptor tyrosine kinase activity. {ECO', 'Autism 20 (AUTS20) [MIM'}"
GSTO1,"{'Neuronopathy, distal hereditary motor, autosomal dominant 3 (HMND3) [MIM', 'Charcot-Marie-Tooth disease, axonal, 2F (CMT2F) [MIM'}"
HRH1,"{'Intellectual developmental disorder, autosomal dominant 42 (MRD42) [MIM'}"
KL,"{'Note=MUC1/CA 15-3 is used as a serological clinical marker of breast cancer to monitor response to breast cancer treatment and disease recurrence (PubMed', 'Nestor-Guillermo progeria syndrome (NGPS) [MIM', 'Note=FGFR4 variants may be involved in the pathogenesis of various cancers. Variant Arg-388 predisposes cancer patients to accelerated disease progression and may be associated with poor prognosis. It has been found in prostate cancer as well as cancers of the breast, colon, head and neck, larynx, lung, skin. {ECO', 'Tumoral calcinosis, hyperphosphatemic, familial, 2 (HFTC2) [MIM', 'Tumoral calcinosis, hyperphosphatemic, familial, 3 (HFTC3) [MIM', 'Porokeratosis 1, multiple types (POROK1) [MIM', 'Hypophosphatemic rickets, autosomal dominant (ADHR) [MIM', 'Tubulointerstitial kidney disease, autosomal dominant, 2 (ADTKD2) [MIM'}"
MTOR,"{'Focal cortical dysplasia 2 (FCORD2) [MIM', 'Proteus syndrome (PROTEUSS) [MIM', 'Note=RRAGC mutations have been found in a patient with idiopathic dilated cardiomyopathy with ventricular dilation and systolic dysfunction, bilateral cataracts, and mild facial dysmorphisms. {ECO', 'Cowden syndrome 6 (CWS6) [MIM', 'Epileptic encephalopathy, infantile or early childhood, 3 (IECEE3) [MIM', 'Cutis laxa, autosomal recessive, 2D (ARCL2D) [MIM', 'Smith-Kingsmore syndrome (SKS) [MIM', 'DISEASE: Note=Genetic variations in AKT1 may play a role in susceptibility to ovarian cancer.', 'Long-Olsen-Distelmaier syndrome (LNGODS) [MIM', 'Colorectal cancer (CRC) [MIM', 'type IIB with dysmorphic neurons and balloon cells. {ECO:0000269|PubMed:25799227, ECO:0000269|PubMed:25878179, ECO:0000269|PubMed:26018084, ECO:0000269|PubMed:27830187}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Breast cancer (BC) [MIM', 'Immunodeficiency due to defect in MAPBP-interacting protein (ID-MAPBPIP) [MIM'}"
REN,"{'Developmental and epileptic encephalopathy 29 (DEE29) [MIM', 'q11) with ABL1. The translocation produces a BCR-ABL found also in acute myeloid leukemia (AML) and acute lymphoblastic leukemia (ALL). {ECO:0000269|PubMed:3107980, ECO:0000269|PubMed:7665185}.', 'Leukemia, chronic myeloid (CML) [MIM', '18) (p13', 'Emery-Dreifuss muscular dystrophy 3, autosomal recessive (EDMD3) [MIM', 'Immunodeficiency 67 (IMD67) [MIM', 'Note=Germline CTNNA1 truncating mutations have been detected in patients with hereditary diffuse gastric cancer (HDGC) and may play a role in disease susceptibility. Diffuse gastric cancer is a malignant disease characterized by poorly differentiated infiltrating lesions resulting in thickening of the stomach. Malignant tumors start in the stomach, can spread to the esophagus or the small intestine, and can extend through the stomach wall to nearby lymph nodes and organs. It also can metastasize to other parts of the body. {ECO', 'Cardiomyopathy, dilated, with hypergonadotropic hypogonadism (CMDHH) [MIM', 'Restrictive dermopathy 2 (RSDM2) [MIM', 'DISEASE: Note=Defects in STK11 are associated with some sporadic cancers, especially lung cancers. Frequently mutated and inactivated in non-small cell lung cancer (NSCLC). Defects promote lung cancerigenesis process, especially lung cancer progression and metastasis. Confers lung adenocarcinoma the ability to trans-differentiate into squamous cell carcinoma. Also able to promote lung cancer metastasis, via both cancer-cell autonomous and non-cancer-cell autonomous mechanisms.', 'Note=Defects in ATP6AP2 may be involved in a glycosylation disorder with autophagic defects characterized by serum protein hypoglycosylation, immunodeficiency, liver disease, psychomotor impairment, and cutis laxa. {ECO', 'Intellectual developmental disorder, autosomal recessive 56 (MRT56) [MIM', 'Parkinsonism with spasticity, X-linked (XPDS) [MIM', 'Congenital disorder of glycosylation 2R (CDG2R) [MIM', 'Macular dystrophy, patterned, 2 (MDPT2) [MIM', 'Emery-Dreifuss muscular dystrophy 2, autosomal dominant (EDMD2) [MIM', 'Heart-hand syndrome Slovenian type (HHS-Slovenian) [MIM', 'Renal tubular dysgenesis (RTD) [MIM', 'Tubulointerstitial kidney disease, autosomal dominant, 4 (ADTKD4) [MIM', 'Intellectual developmental disorder, X-linked, syndromic, Hedera type (MRXSH) [MIM', 'Note=Defects in LMNA may cause a late-onset cardiocutaneous progeria syndrome characterized by cutaneous manifestations of aging appearing in the third decade of life, cardiac valve calcification and dysfunction, prominent atherosclerosis, and cardiomyopathy, leading to death on average in the fourth decade. {ECO', '22)(q34', 'Charcot-Marie-Tooth disease, axonal, 2B1 (CMT2B1) [MIM', 'Muscular dystrophy congenital LMNA-related (MDCL) [MIM', 'Spermatogenic failure 76 (SPGF76) [MIM', 'Peutz-Jeghers syndrome (PJS) [MIM', 'Testicular germ cell tumor (TGCT) [MIM', 'Deafness, autosomal recessive, 123 (DFNB123) [MIM', 'Lipodystrophy, familial partial, 2 (FPLD2) [MIM', 'Mandibuloacral dysplasia with type A lipodystrophy (MADA) [MIM', 'p11.2). {ECO:0000269|PubMed:11173847}.', 'Cardiomyopathy, dilated, 1A (CMD1A) [MIM', 'Charcot-Marie-Tooth disease, axonal, 2N (CMT2N) [MIM', 'Intellectual developmental disorder, X-linked, syndromic 14 (MRXS14) [MIM', 'Nephronophthisis 18 (NPHP18) [MIM', 'Trichothiodystrophy 8, non-photosensitive (TTD8) [MIM', 'Lactate dehydrogenase B deficiency (LDHBD) [MIM', 'Fibrosis of extraocular muscles, congenital, 1 (CFEOM1) [MIM', 'DISEASE: Note=A chromosomal aberration involving BCR has been found in patients with chronic myeloid leukemia. Translocation t(9', 'DISEASE: Note=A chromosomal aberration involving CCDC34 is found in a patient with hamartoma of the retinal pigment epithelium and retina. Translocation t(11', 'Leukoencephalopathy, hereditary diffuse, with spheroids 2 (HDLS2) [MIM', 'Hutchinson-Gilford progeria syndrome (HGPS) [MIM'}"
