Gene,disease_list
CHRNA5,"{'Epilepsy, nocturnal frontal lobe, 3 (ENFL3) [MIM'}"
DRD2,"{'Nizon-Isidor syndrome (NIZIDS) [MIM', 'DISEASE: Note=A chromosomal aberration involving DISC1 segregates with schizophrenia and related psychiatric disorders in a large Scottish family. Translocation t(1', '11)(q42.1', 'q14.3). The truncated DISC1 protein produced by this translocation is unable to interact with ATF4, ATF5 and NDEL1.', 'Schizophrenia 9 (SCZD9) [MIM', 'Schizophrenia (SCZD) [MIM', 'Developmental and epileptic encephalopathy 32 (DEE32) [MIM', 'Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism (IDLDP) [MIM', 'Anterior segment dysgenesis 1 (ASGD1) [MIM', 'Note=Defects in DTNBP1 are associated with susceptibility to schizophrenia, a mental disorder characterized by a breakdown of thought processes and by poor emotional responsiveness. Genetic mutations lead to alterations in the glutamatergic transmission in the brain and modified Akt signaling (PubMed', 'Cataract 11, multiple types (CTRCT11) [MIM', 'Parkinsonism-dystonia 1, infantile-onset (PKDYS1) [MIM', 'Hermansky-Pudlak syndrome 7 (HPS7) [MIM', 'Tremor, hereditary essential 1 (ETM1) [MIM'}"
DRD3,"{'Otopalatodigital syndrome 2 (OPD2) [MIM', 'Frontometaphyseal dysplasia 1 (FMD1) [MIM', 'Note=Defects in FLNA may be a cause of macrothrombocytopenia, a disorder characterized by subnormal levels of blood platelets. Blood platelets are abnormally enlarged (PubMed', 'Melnick-Needles syndrome (MNS) [MIM', 'Schizophrenia (SCZD) [MIM', 'Congenital short bowel syndrome, X-linked (CSBSX) [MIM', 'FG syndrome 2 (FGS2) [MIM', 'Terminal osseous dysplasia (TOD) [MIM', 'Otopalatodigital syndrome 1 (OPD1) [MIM', 'Intestinal pseudoobstruction, neuronal, chronic idiopathic, X-linked (CIIPX) [MIM', 'Periventricular nodular heterotopia 1 (PVNH1) [MIM', 'Tremor, hereditary essential 1 (ETM1) [MIM', 'Cardiac valvular dysplasia, X-linked (CVDPX) [MIM'}"
GABRR1,"{'Generalized epilepsy with febrile seizures plus 5 (GEFSP5) [MIM', 'Developmental and epileptic encephalopathy 79 (DEE79) [MIM', 'Developmental and epileptic encephalopathy 43 (DEE43) [MIM', 'Developmental and epileptic encephalopathy 45 (DEE45) [MIM', 'Epileptic encephalopathy, infantile or early childhood, 2 (IECEE2) [MIM', 'DISEASE: Note=A chromosomal aberration involving SQSTM1 is found in a form of acute lymphoblastic leukemia. Translocation t(5', 'Epilepsy, X-linked 2, with or without impaired intellectual development and dysmorphic features (EPILX2) [MIM', 'Frontotemporal dementia and/or amyotrophic lateral sclerosis 3 (FTDALS3) [MIM', 'Epilepsy, childhood absence 2 (ECA2) [MIM', 'Epilepsy, childhood absence 4 (ECA4) [MIM', 'Epilepsy, childhood absence 5 (ECA5) [MIM', '9)(q35', 'Epilepsy, idiopathic generalized 10 (EIG10) [MIM', 'Myopathy, distal, with rimmed vacuoles (DMRV) [MIM', 'Juvenile myoclonic epilepsy 5 (EJM5) [MIM', 'Febrile seizures, familial, 8 (FEB8) [MIM', 'Epilepsy, idiopathic generalized 13 (EIG13) [MIM', 'Generalized epilepsy with febrile seizures plus 3 (GEFSP3) [MIM', 'Developmental and epileptic encephalopathy 19 (DEE19) [MIM', 'Developmental and epileptic encephalopathy 78 (DEE78) [MIM', 'q34) with NUP214. {ECO:0000269|PubMed:20851865}.', 'Developmental and epileptic encephalopathy 74 (DEE74) [MIM', 'Neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset (NADGP) [MIM', 'Paget disease of bone 3 (PDB3) [MIM', 'Note=In a cell model for Huntington disease (HD), appears to form a shell surrounding aggregates of mutant HTT that may protect cells from apoptosis, possibly by recruiting autophagosomal components to the polyubiquitinated protein aggregates. {ECO'}"
HRH3,set()
HTR1A,"{'9)(p12', 'Osteoglophonic dysplasia (OGD) [MIM', 'p11p22) with FGFR1OP2. Translocation t(8', '8)(q27', 'Kaya-Barakat-Masson syndrome (KABAMAS) [MIM', 'p11) with CEP43. Insertion ins(12', 'q33) with CNTRL. Translocation t(2', 'Pfeiffer syndrome (PS) [MIM', 'Trigonocephaly 1 (TRIGNO1) [MIM', 'Periodic fever, menstrual cycle-dependent (PFMC) [MIM', 'Jackson-Weiss syndrome (JWS) [MIM', 'q12) with ZMYM2. Translocation t(6', 'Hypogonadotropic hypogonadism 2 with or without anosmia (HH2) [MIM', 'craniosynostosis, early demise, sporadic (type 3). {ECO:0000269|PubMed:7874169}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Hartsfield syndrome (HRTFDS) [MIM', '8)(q12', 'cloverleaf skull, elbow ankylosis, early death, sporadic (type 2)', 'p11) with RANBP2. Chromosome 8p11 myeloproliferative syndrome is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, CEP43-FGFR1 or FGFR1-CEP43 may exhibit constitutive kinase activity and be responsible for the transforming activity. The fusion protein CNTRL-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity. {ECO:0000269|PubMed:10688839, ECO:0000269|PubMed:15034873, ECO:0000269|PubMed:16946300, ECO:0000269|PubMed:17389761, ECO:0000269|PubMed:23041776, ECO:0000269|PubMed:9716603, ECO:0000269|PubMed:9949182}.', 'Intellectual developmental disorder, autosomal recessive 3 (MRT3) [MIM', 'DISEASE: Note=Chromosomal aberrations involving FGFR1 are a cause of chromosome 8p11 myeloproliferative syndrome. Translocation t(8', 'Encephalocraniocutaneous lipomatosis (ECCL) [MIM', '8)(p11', '13)(p11'}"
MAPK1,"{'Cardiofaciocutaneous syndrome 3 (CFC3) [MIM', 'Retinitis pigmentosa 67 (RP67) [MIM', 'Gastrointestinal stromal tumor (GIST) [MIM', 'Neurodevelopmental disorder with midbrain and hindbrain malformations (NEDMHM) [MIM', 'Note=Involved in tumorigenic rearrangements with the MET. {ECO', 'Melorheostosis, isolated (MEL) [MIM', 'Lung cancer (LNCR) [MIM', 'Colorectal cancer (CRC) [MIM', 'q21) with RARA. The PML breakpoints (type A and type B) lie on either side of an alternatively spliced exon. {ECO:0000269|PubMed:1652369, ECO:0000269|PubMed:1720570}.', 'DISEASE: Note=A chromosomal aberration involving PML may be a cause of acute promyelocytic leukemia (APL). Translocation t(15', '17)(q21', ""Note=A chromosomal aberration involving TPR has been found in papillary thyroid carcinomas (PTCs). Intrachromosomal rearrangement that links the 5'-end of the TPR gene to the protein kinase domain of NTRK1 forms the fusion protein TRK-T1. TRK-T1 is a 55 kDa protein reacting with antibodies against the carboxy terminus of the NTRK1 protein. {ECO"", 'Note=Defects in BRAF are found in a wide range of cancers. {ECO', 'Mastocytosis, systemic (MASTSYS) [MIM', 'Testicular germ cell tumor (TGCT) [MIM', 'Hypogonadotropic hypogonadism 19 with or without anosmia (HH19) [MIM', 'Noonan syndrome 13 (NS13) [MIM', 'Cardiofaciocutaneous syndrome 1 (CFC1) [MIM', 'Noonan syndrome 7 (NS7) [MIM', 'Familial non-Hodgkin lymphoma (NHL) [MIM', 'Note=A chromosomal aberration involving BRAF is found in pilocytic astrocytomas. A tandem duplication of 2 Mb at 7q34 leads to the expression of a KIAA1549-BRAF fusion protein with a constitutive kinase activity and inducing cell transformation. {ECO', 'Piebald trait (PBT) [MIM', 'Leukemia, acute myelogenous (AML) [MIM', 'LEOPARD syndrome 3 (LPRD3) [MIM', 'Neonatal nephrocutaneous inflammatory syndrome (NNCIS) [MIM', 'Intellectual developmental disorder, autosomal recessive 79 (MRT79) [MIM', 'Mastocytosis, cutaneous (MASTC) [MIM'}"
OTC,{'Ornithine carbamoyltransferase deficiency (OTCD) [MIM'}
PDCL,"{'Charcot-Marie-Tooth disease, dominant intermediate F (CMTDIF) [MIM', 'Night blindness, congenital stationary, 1H (CSNB1H) [MIM', 'Prolonged electroretinal response suppression 1 (PERRS1) [MIM'}"
SIK1,"{'Hypomagnesemia, seizures, and impaired intellectual development 2 (HOMGSMR2) [MIM', 'Developmental and epileptic encephalopathy 30 (DEE30) [MIM', 'p13) with MAML2. The fusion protein consists of the N-terminus of CRTC1 joined to the C-terminus of MAML2. The reciprocal fusion protein consisting of the N-terminus of MAML2 joined to the C-terminus of CRTC1 has been detected in a small number of mucoepidermoid carcinomas.', 'DISEASE: Note=A chromosomal aberration involving CRTC1 is found in mucoepidermoid carcinomas, benign Warthin tumors and clear cell hidradenomas. Translocation t(11', 'Mucoepithelial dysplasia, hereditary (HMD) [MIM', 'Neurodevelopmental disorder with central hypotonia and dysmorphic facies (NEDCHF) [MIM', 'DISEASE: Note=Defects in STK11 are associated with some sporadic cancers, especially lung cancers. Frequently mutated and inactivated in non-small cell lung cancer (NSCLC). Defects promote lung cancerigenesis process, especially lung cancer progression and metastasis. Confers lung adenocarcinoma the ability to trans-differentiate into squamous cell carcinoma. Also able to promote lung cancer metastasis, via both cancer-cell autonomous and non-cancer-cell autonomous mechanisms.', 'Note=HDAC4 point mutations and chromosomal microdeletions encompassing this gene have been found in patients with brachydactyly and intellectual disability syndrome (PubMed', 'Charcot-Marie-Tooth disease, axonal, 2DD (CMT2DD) [MIM', '19)(q21', 'Note=Defects in SIK1 may be associated with some cancers, such as breast cancers. Loss of SIK1 correlates with poor patient outcome in breast cancers (PubMed', 'IFAP syndrome 2 (IFAP2) [MIM', 'Peutz-Jeghers syndrome (PJS) [MIM', 'Testicular germ cell tumor (TGCT) [MIM'}"
