Gene,disease_list
ADRB2,"{'Erythrocytosis, familial, 2 (ECYT2) [MIM', 'Note=SRC kinase activity has been shown to be increased in several tumor tissues and tumor cell lines such as colon carcinoma cells. {ECO', 'von Hippel-Lindau disease (VHLD) [MIM', 'Pheochromocytoma (PCC) [MIM', 'Intellectual developmental disorder, X-linked, syndromic, Raymond type (MRXSR) [MIM', 'Thrombocytopenia 6 (THC6) [MIM', 'Renal cell carcinoma (RCC) [MIM', 'Nephrolithiasis/osteoporosis, hypophosphatemic, 2 (NPHLOP2) [MIM'}"
APOA1,"{'Combined oxidative phosphorylation deficiency 33 (COXPD33) [MIM', 'Intellectual developmental disorder, autosomal dominant 21 (MRD21) [MIM', 'Hypoalphalipoproteinemia, primary, 2, intermediate (FHA2I) [MIM', 'Familial apolipoprotein gene cluster deletion syndrome (FAPLDS) [MIM', 'Amyloidosis, hereditary systemic 3 (AMYLD3) [MIM', 'Lecithin-cholesterol acyltransferase deficiency (LCATD) [MIM', 'Hypoalphalipoproteinemia, primary, 2 (FHA2) [MIM', 'Fish-eye disease (FED) [MIM', 'Hyperlipoproteinemia 5 (HLPP5) [MIM', 'Alzheimer disease 9 (AD9) [MIM', 'Alzheimer disease 17 (AD17) [MIM', 'Intellectual developmental disorder with or without epilepsy or cerebellar ataxia (IDDECA) [MIM', 'Focal segmental glomerulosclerosis 4 (FSGS4) [MIM', 'Proteinuria, chronic benign (PROCHOB) [MIM', 'Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy 1 (PEBEL1) [MIM', 'Hypoalphalipoproteinemia, primary, 1 (FHA1) [MIM', 'Hypertriglyceridemia 1 (HYTG1) [MIM', 'Hyperalphalipoproteinemia 2 (HALP2) [MIM', 'Anhaptoglobinemia (AHP) [MIM', 'Tangier disease (TGD) [MIM', 'Imerslund-Grasbeck syndrome 1 (IGS1) [MIM', 'Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2 (PLOSL2) [MIM', 'Chylomicron retention disease (CMRD) [MIM'}"
APOA2,"{'Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy 1 (PEBEL1) [MIM', 'Cataract 1, multiple types (CTRCT1) [MIM', 'Alzheimer disease 9 (AD9) [MIM', 'Alzheimer disease 17 (AD17) [MIM', 'Tubulointerstitial kidney disease, autosomal dominant, 2 (ADTKD2) [MIM', 'Granulomatous disease, chronic, autosomal recessive, 5 (CGD5) [MIM', 'Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2 (PLOSL2) [MIM', 'Spermatogenic failure 7 (SPGF7) [MIM', 'Oocyte/zygote/embryo maturation arrest 7 (OZEMA7) [MIM', 'Note=MUC1/CA 15-3 is used as a serological clinical marker of breast cancer to monitor response to breast cancer treatment and disease recurrence (PubMed'}"
CHD7,"{'9)(p12', 'Hypogonadotropic hypogonadism 15 with or without anosmia (HH15) [MIM', 'Coffin-Siris syndrome 8 (CSS8) [MIM', 'Hypogonadotropic hypogonadism 3 with or without anosmia (HH3) [MIM', 'Osteoglophonic dysplasia (OGD) [MIM', 'p11p22) with FGFR1OP2. Translocation t(8', 'Intellectual developmental disorder with autism and macrocephaly (IDDAM) [MIM', 'Lessel-Kreienkamp syndrome (LESKRES) [MIM', '8)(q27', 'Hypogonadotropic hypogonadism 8 with or without anosmia (HH8) [MIM', 'p11) with CEP43. Insertion ins(12', 'q33) with CNTRL. Translocation t(2', 'Pfeiffer syndrome (PS) [MIM', 'Precocious puberty, central 1 (CPPB1) [MIM', 'Trigonocephaly 1 (TRIGNO1) [MIM', 'Jackson-Weiss syndrome (JWS) [MIM', 'Intellectual developmental disorder, autosomal dominant 57 (MRD57) [MIM', 'q12) with ZMYM2. Translocation t(6', 'Waardenburg syndrome 2E (WS2E) [MIM', 'Hypogonadotropic hypogonadism 2 with or without anosmia (HH2) [MIM', 'DISEASE: Note=A chromosomal aberration disrupting CHD6 has been found in a patient with mild to moderate intellectual disability and minor facial anomalies. Translocation t(18', 'Hypogonadotropic hypogonadism 5 with or without anosmia (HH5) [MIM', 'Renal cell carcinoma (RCC) [MIM', '20)(q21.1', 'q11.2) with TCF4 producing a CHD6-TCF4 fusion transcript (PubMed:18627065). {ECO:0000269|PubMed:18627065}.', 'Hypogonadotropic hypogonadism 16 with or without anosmia (HH16) [MIM', 'craniosynostosis, early demise, sporadic (type 3). {ECO:0000269|PubMed:7874169}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Hypogonadotropic hypogonadism 4 with or without anosmia (HH4) [MIM', 'Hartsfield syndrome (HRTFDS) [MIM', '8)(q12', 'cloverleaf skull, elbow ankylosis, early death, sporadic (type 2)', 'Idiopathic scoliosis 3 (IS3) [MIM', 'Hypogonadotropic hypogonadism 11 with or without anosmia (HH11) [MIM', 'p11) with RANBP2. Chromosome 8p11 myeloproliferative syndrome is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, CEP43-FGFR1 or FGFR1-CEP43 may exhibit constitutive kinase activity and be responsible for the transforming activity. The fusion protein CNTRL-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity. {ECO:0000269|PubMed:10688839, ECO:0000269|PubMed:15034873, ECO:0000269|PubMed:16946300, ECO:0000269|PubMed:17389761, ECO:0000269|PubMed:23041776, ECO:0000269|PubMed:9716603, ECO:0000269|PubMed:9949182}.', 'CHARGE syndrome (CHARGES) [MIM', 'Hypogonadotropic hypogonadism 7 with or without anosmia (HH7) [MIM', 'Waardenburg syndrome 4C (WS4C) [MIM', 'Peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy, Waardenburg syndrome and Hirschsprung disease (PCWH) [MIM', 'DISEASE: Note=Chromosomal aberrations involving FGFR1 are a cause of chromosome 8p11 myeloproliferative syndrome. Translocation t(8', 'Encephalocraniocutaneous lipomatosis (ECCL) [MIM', '8)(p11', 'Hypogonadotropic hypogonadism 1 with or without anosmia (HH1) [MIM', '13)(p11'}"
CRP,"{'especially to meningococcal infections. Three phenotypes have been reported: complete deficiency (type I), incomplete deficiency (type II), and dysfunction of properdin (type III). {ECO:0000269|PubMed:10909851, ECO:0000269|PubMed:28264884, ECO:0000269|PubMed:31507604, ECO:0000269|PubMed:8871668, ECO:0000269|PubMed:9710744}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Glucocorticoid resistance, generalized (GCCR) [MIM', 'Bleeding disorder, platelet-type, 11 (BDPLT11) [MIM', 'Complement factor H deficiency (CFHD) [MIM', 'CFHR5 deficiency (CFHR5D) [MIM', 'Seizures, benign familial infantile, 5 (BFIS5) [MIM', 'Cognitive impairment with or without cerebellar ataxia (CIAT) [MIM', 'Properdin deficiency (PFD) [MIM', 'Macular degeneration, age-related, 4 (ARMD4) [MIM', 'Hemolytic uremic syndrome, atypical, 1 (AHUS1) [MIM', 'Note=Defects in CFHR5 have been found in patients with atypical hemolytic uremic syndrome and may contribute to the disease. Atypical hemolytic uremic syndrome is a complex genetic disease characterized by microangiopathic hemolytic anemia, thrombocytopenia, renal failure and absence of episodes of enterocolitis and diarrhea. In contrast to typical hemolytic uremic syndrome, atypical forms have a poorer prognosis, with higher death rates and frequent progression to end-stage renal disease. Susceptibility to the development of atypical hemolytic uremic syndrome can be conferred by mutations in various components of or regulatory factors in the complement cascade system. Other genes may play a role in modifying the phenotype. {ECO', 'Myoclonus, familial, 2 (MYOCL2) [MIM', 'Basal laminar drusen (BLD) [MIM', 'Developmental and epileptic encephalopathy 13 (DEE13) [MIM', 'Alacrima, achalasia, and impaired intellectual development syndrome (AAMR) [MIM'}"
ERBB2,"{'Leukodystrophy, hypomyelinating, 27 (HLD27) [MIM', 'Congenital smooth muscle hamartoma, with or without hemihypertrophy (CSMH) [MIM', 'Lung cancer (LNCR) [MIM', 'Ovarian cancer (OC) [MIM', 'Amyotrophic lateral sclerosis 19 (ALS19) [MIM', '11)(p32', 'Deafness, autosomal recessive, 108 (DFNB108) [MIM', 'Intellectual developmental disorder, autosomal dominant 56 (MRD56) [MIM', 'DISEASE: Note=A chromosomal aberration involving EPS15 is found in acute leukemias. Translocation t(1', 'Dystonia-deafness syndrome 1 (DDS1) [MIM', 'Oculoskeletodental syndrome (OCSKD) [MIM', 'DISEASE: Note=Chromosomal aberrations involving CDK12 may be a cause gastric cancer. Deletions within 17q12 region producing fusion transcripts with ERBB2, leading to CDK12-ERBB2 fusion leading to trunctated CDK12 protein not in-frame with ERBB2.', 'Alzheimer disease (AD) [MIM', 'q23) with KMT2A/MLL1. The result is a rogue activator protein.', 'Visceral neuropathy, familial, 2, autosomal recessive (VSCN2) [MIM', 'Glioma (GLM) [MIM', 'Note=Promotes breast cancer progression by enhancing the interaction between E3 ligase STUB1 and PFN1, thereby promoting proteasomal degradation of PFN1 and subsequent activation of downstream signaling pathways including PI3K/AKT, NF-kB and WNT (PubMed', 'Acrofacial dysostosis, Cincinnati type (AFDCIN) [MIM', 'Baraitser-Winter syndrome 1 (BRWS1) [MIM', 'Note=Chromosomal aberrations involving ERBB2 may be a cause gastric cancer. Deletions within 17q12 region producing fusion transcripts with CDK12, leading to CDK12-ERBB2 fusion leading to truncated CDK12 protein not in-frame with ERBB2. {ECO', 'Neonatal nephrocutaneous inflammatory syndrome (NNCIS) [MIM', 'Gastric cancer (GASC) [MIM', 'Thrombocytopenia 8, with dysmorphic features and developmental delay (THC8) [MIM', 'Becker nevus syndrome (BNS) [MIM', 'Hyperphosphatasia with impaired intellectual development syndrome 4 (HPMRS4) [MIM'}"
GAST,"{'Methemoglobinemia CYB5R3-related (METHB-CYB5R3) [MIM', 'Wolfram syndrome 2 (WFS2) [MIM', 'Spastic paraplegia 2, X-linked (SPG2) [MIM', 'p11) with FGFR1. Chromosome 8p11 myeloproliferative syndrome is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. {ECO:0000269|PubMed:23041776}.', 'Osteogenesis imperfecta 16 (OI16) [MIM', 'Atransferrinemia (ATRAF) [MIM', 'Encephalopathy, acute, infection-induced, 3 (IIAE3) [MIM', 'DISEASE: Note=A chromosomal aberration involving RANBP2 is a cause of chromosome 8p11 myeloproliferative syndrome. Translocation t(2', '8)(q12', 'Hypercholanemia, familial, 2 (FHCA2) [MIM', 'Tubulointerstitial kidney disease, autosomal dominant, 2 (ADTKD2) [MIM', 'Facial dysmorphism, lens dislocation, anterior segment abnormalities, and spontaneous filtering blebs (FDLAB) [MIM', 'additional genetic and environmental factors are required (PubMed:19118815). {ECO:0000269|PubMed:19118815}.', 'Note=MUC1/CA 15-3 is used as a serological clinical marker of breast cancer to monitor response to breast cancer treatment and disease recurrence (PubMed', 'Leukodystrophy, hypomyelinating, 1 (HLD1) [MIM'}"
HMGCR,"{'3-hydroxy-3-methylglutaryl-CoA synthase-2 deficiency (HMGCS2D) [MIM', 'Charcot-Marie-Tooth disease, axonal, 2Y (CMT2Y) [MIM', 'Spastic paraplegia 18B, autosomal recessive (SPG18B) [MIM', 'Basal cell carcinoma (BCC) [MIM', 'Niemann-Pick disease C1 (NPC1) [MIM', 'Frontotemporal dementia and/or amyotrophic lateral sclerosis 6 (FTDALS6) [MIM', 'Corneal dystrophy, Schnyder type (SCCD) [MIM', '8)(q14.2', 'Muscular dystrophy, limb-girdle, autosomal recessive 28 (LGMDR28) [MIM', 'Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 1 (IBMPFD1) [MIM', 'Renal cell carcinoma (RCC) [MIM', 'Spastic paraplegia 89, autosomal recessive (SPG89) [MIM', ""q24.1) with FHIT. RNF139 is found to be fused to FHIT and disrupted within the sterol-sensing domain. In contrast, the FHIT coding region is maintained and expressed. Sporadic cases of renal carcinoma, where an acquired mutation in RNF139 results in the duplication of 12 nucleotides in the 5'-UTR, has also been identified."", 'Spastic paraplegia 18A, autosomal dominant (SPG18A) [MIM', 'Medulloblastoma (MDB) [MIM'}"
PLAT,"{'Ichthyosis, congenital, autosomal recessive 3 (ARCI3) [MIM', 'Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Met at position 560 may confer interindividual susceptibility to coronary artery disease (CAD) (PubMed', 'Ichthyosis, congenital, autosomal recessive 2 (ARCI2) [MIM', 'Developmental and epileptic encephalopathy 49 (DEE49) [MIM', 'larger brownish scales are present on the buttocks, neck and legs. {ECO:0000269|PubMed:11773004, ECO:0000269|PubMed:15629692, ECO:0000269|PubMed:16116617, ECO:0000269|PubMed:19131948, ECO:0000269|PubMed:19890349}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Note=Defects in PKD1L1 may be involved in autosomal recessive congenital chylothorax, a disorder belonging to the congenital lymphatic anomaly spectrum. Congenital chylothorax is characterized by antenatal chyle accumulation in the pleural cavity resulting in fetal lung compression, restricted venous blood flow to the heart and fetal hydrops. Frequently, affected fetuses die intrauterine or shortly after birth. In surviving infants, loss of chyle-soluble fluid leads to malnutrition, thrombophilia, and immunodeficiency. {ECO', 'skin scales later develop, covering the entire body surface. Non-bullous congenital ichthyosiform erythroderma characterized by fine whitish scaling on an erythrodermal background', 'Hepatic lipase deficiency (HL deficiency) [MIM', 'Esophageal cancer (ESCR) [MIM', 'Note=Increased activity of TPA results in increased fibrinolysis of fibrin blood clots that is associated with excessive bleeding. Defective release of TPA results in hypofibrinolysis that can lead to thrombosis or embolism. {ECO', 'Pancreatic lipase deficiency (PNLIPD) [MIM', 'Colorectal cancer (CRC) [MIM', 'Lipodystrophy, familial partial, 9 (FPLD9) [MIM', 'Heterotaxy, visceral, 8, autosomal (HTX8) [MIM', 'Plasminogen activator inhibitor-1 deficiency (PAI-1D) [MIM'}"
RAC1,"{'q21) translocation that truncates HACE1 has been found in a child with bilateral, young-onset Wilms tumor (PubMed:19948536). {ECO:0000269|PubMed:17694067, ECO:0000269|PubMed:19948536}.', 'Immunodeficiency 73C with defective neutrophil chemotaxis and hypogammaglobulinemia (IMD73C) [MIM', 'DISEASE: Note=A chromosomal aberration disrupting SRGAP2 has been found in a patient with early infantile epileptic encephalopathy. Balanced translocation t(1', 'Granulomatous disease, chronic, autosomal recessive, 2 (CGD2) [MIM', 'Developmental and epileptic encephalopathy 65 (DEE65) [MIM', '6)(q21', 'Immunodeficiency 73B with defective neutrophil chemotaxis and lymphopenia (IMD73B) [MIM', 'Granulomatous disease, chronic, autosomal recessive, 4 (CGD4) [MIM', 'DISEASE: Note=Defects in HACE1 are a cause of Wilms tumor (WT). WT is a pediatric malignancy of kidney and one of the most common solid cancers in childhood. HACE1 is epigenetically down-regulated in sporadic Wilms tumor. Moreover, a t(5', 'Immunodeficiency 73A with defective neutrophil chemotaxis and leukocytosis (IMD73A) [MIM', 'DISEASE: Note=A chromosomal aberration involving RAP1GDS1 has been found in T-cell acute lymphocytic leukemia. Translocation t(4', 'p15) with NUP98. {ECO:0000269|PubMed:10477737, ECO:0000269|PubMed:10929031}.', 'q13) (PubMed:22106086). {ECO:0000269|PubMed:22106086}.', 'DISEASE: Note=A chromosomal aberration involving RAP1GDS1 has been found in M0 type acute myeloid leukemia. Translocation (t4', 'Dystrophia myotonica 1 (DM1) [MIM', '9)(q32', 'Immunodeficiency 40 (IMD40) [MIM', 'Alfadhel syndrome (AFDL) [MIM', 'p15) with NUP98. {ECO:0000269|PubMed:16419055}.', 'Spastic paraplegia and psychomotor retardation with or without seizures (SPPRS) [MIM', 'Intellectual developmental disorder, autosomal dominant 48 (MRD48) [MIM', 'Blistering, acantholytic, of oral and laryngeal mucosa (ABOLM) [MIM', '11)(q23'}"
