Gene,disease_list
AR,"{'Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia (IMD71) [MIM', 'Auditory neuropathy and optic atrophy (ANOA) [MIM', 'Note=Defects in AR may play a role in metastatic prostate cancer. The mutated receptor stimulates prostate growth and metastases development despite of androgen ablation. This treatment can reduce primary and metastatic lesions probably by inducing apoptosis of tumor cells when they express the wild-type receptor. {ECO', 'Androgen insensitivity, partial (PAIS) [MIM', 'Spinal and bulbar muscular atrophy X-linked 1 (SMAX1) [MIM', 'DISEASE: Note=A chromosomal aberration involving NCOA4 is found in papillary thyroid carcinomas (PTCs). Inversion inv(10)(q11.2', 'Developmental delay, language impairment, and ocular abnormalities (DEVLO) [MIM', 'Retinitis pigmentosa 82 with or without situs inversus (RP82) [MIM', 'Hypospadias 1, X-linked (HYSP1) [MIM', 'Immunodeficiency 113 with autoimmunity and autoinflammation (IMD113) [MIM', 'Androgen insensitivity syndrome (AIS) [MIM', 'Multiple mitochondrial dysfunctions syndrome 9B (MMDS9B) [MIM', 'q11.2) generates the RET/NCOA4 (PTC3) oncogene. {ECO:0000269|PubMed:8187085, ECO:0000269|PubMed:8290261}.', 'Joubert syndrome 8 (JBTS8) [MIM', 'Prostate cancer, hereditary, X-linked 3 (HPCX3) [MIM', 'Spastic paraplegia 61, autosomal recessive (SPG61) [MIM'}"
CHI3L1,"{'Schizophrenia (SCZD) [MIM', 'Asthma-related traits 7 (ASRT7) [MIM'}"
CHRM3,"{'Nephrotic syndrome 3 (NPHS3) [MIM', 'Congenital contractures of the limbs and face, hypotonia, and developmental delay (CLIFAHDD) [MIM', 'Prune belly syndrome (PBS) [MIM', 'Neurodevelopmental disorder with facial dysmorphism, absent language, and pseudo-Pelger-Huet anomaly (NEDFLPH) [MIM', 'Hypotonia, infantile, with psychomotor retardation and characteristic facies 1 (IHPRF1) [MIM'}"
CHRM4,set()
CHRM5,{'Prune belly syndrome (PBS) [MIM'}
CYP11A1,"{'the 46,XY patients have female external genitalia, sometimes with clitoromegaly. The phenotypic spectrum ranges from prematurity, complete underandrogenization, and severe early-onset adrenal failure to term birth with clitoromegaly and later-onset adrenal failure. Patients with congenital adrenal insufficiency do not manifest the massive adrenal enlargement typical of congenital lipoid adrenal hyperplasia. {ECO:0000269|PubMed:11502818, ECO:0000269|PubMed:12161514, ECO:0000269|PubMed:16705068, ECO:0000269|PubMed:18182448, ECO:0000269|PubMed:19116240}. Note=The disease is caused by variants affecting the gene represented in this entry.', '16)(p11', 'Rubinstein-Taybi syndrome 2 (RSTS2) [MIM', 'Premature ovarian failure 7 (POF7) [MIM', '22)(p11', 'DISEASE: Note=Defects in EP300 may play a role in epithelial cancer.', 'Adrenal insufficiency, NR5A1-related (AINR) [MIM', 'Auditory neuropathy and optic atrophy (ANOA) [MIM', 'Spermatogenic failure 8 (SPGF8) [MIM', 'p13.3) with KMT2A/MLL1', 'Menke-Hennekam syndrome 2 (MKHK2) [MIM', 'DISEASE: Note=Chromosomal aberrations involving CREBBP may be a cause of acute myeloid leukemias. Translocation t(8', 'Rubinstein-Taybi syndrome 1 (RSTS1) [MIM', 'p13) with KAT6B. KAT6A-CREBBP may induce leukemia by inhibiting RUNX1-mediated transcription.', '46,XX sex reversal 4 (SRXX4) [MIM', 'Autism, X-linked 1 (AUTSX1) [MIM', 'DISEASE: Note=Chromosomal aberrations involving EP300 may be a cause of acute myeloid leukemias. Translocation t(8', 'p13) with KAT6A', 'Hypercalcemia, infantile, 1 (HCINF1) [MIM', '46,XY sex reversal 3 (SRXY3) [MIM', 'Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy (MEOAL) [MIM', '16)(q23', 'q13) with KAT6A.', 'Menke-Hennekam syndrome 1 (MKHK1) [MIM', '16)(q22', 'translocation t(10', 'translocation t(11', 'Multiple mitochondrial dysfunctions syndrome 9B (MMDS9B) [MIM', 'Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR) [MIM'}"
CYP2B6,set()
LCLAT1,{'Note=A chromosomal aberration involving GOPC is found in a glioblastoma multiforme sample. An intra-chromosomal deletion del(6)(q21q21) is responsible for the formation of GOPC-ROS1 chimeric protein which has a constitutive receptor tyrosine kinase activity. {ECO'}
MCL1,"{'Intellectual developmental disorder, X-linked, syndromic, Turner type (MRXST) [MIM', 'Noonan syndrome 13 (NS13) [MIM', 'Proteasome-associated autoinflammatory syndrome 1 (PRAAS1) [MIM', 'Intellectual developmental disorder, X-linked 99 (XLID99) [MIM', 'Portal hypertension, non-cirrhotic, 2 (NCPH2) [MIM', 'Intellectual developmental disorder, X-linked 99, syndromic, female-restricted (MRXS99F) [MIM'}"
UBOX5,"{'Lynch syndrome 2 (LYNCH2) [MIM', 'Spinocerebellar ataxia 1 (SCA1) [MIM', 'Charcot-Marie-Tooth disease, axonal, 2Y (CMT2Y) [MIM', 'Amyotrophic lateral sclerosis 10 (ALS10) [MIM', 'Mismatch repair cancer syndrome 1 (MMRCS1) [MIM', 'Frontotemporal dementia and/or amyotrophic lateral sclerosis 6 (FTDALS6) [MIM', '2 or more generation affected', ""exclusion of hereditary polyposis syndromes. The term 'suspected Lynch syndrome' or 'incomplete Lynch syndrome' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:10323887, ECO:0000269|PubMed:10375096, ECO:0000269|PubMed:10386556, ECO:0000269|PubMed:10413423, ECO:0000269|PubMed:10480359, ECO:0000269|PubMed:10598809, ECO:0000269|PubMed:10627141, ECO:0000269|PubMed:10660333, ECO:0000269|PubMed:10671064, ECO:0000269|PubMed:10713887, ECO:0000269|PubMed:10777691, ECO:0000269|PubMed:10882759, ECO:0000269|PubMed:11139242, ECO:0000269|PubMed:11427529, ECO:0000269|PubMed:11726306, ECO:0000269|PubMed:11748856, ECO:0000269|PubMed:11754112, ECO:0000269|PubMed:11781295, ECO:0000269|PubMed:11793442, ECO:0000269|PubMed:11839723, ECO:0000269|PubMed:11870161, ECO:0000269|PubMed:12095971, ECO:0000269|PubMed:12132870, ECO:0000269|PubMed:12200596, ECO:0000269|PubMed:12362047, ECO:0000269|PubMed:12373605, ECO:0000269|PubMed:12655562, ECO:0000269|PubMed:12658575, ECO:0000269|PubMed:14635101, ECO:0000269|PubMed:14961575, ECO:0000269|PubMed:15064764, ECO:0000269|PubMed:15139004, ECO:0000269|PubMed:15365995, ECO:0000269|PubMed:15365996, ECO:0000269|PubMed:16083711, ECO:0000269|PubMed:16451135, ECO:0000269|PubMed:17301300, ECO:0000269|PubMed:17510385, ECO:0000269|PubMed:18561205, ECO:0000269|PubMed:20020535, ECO:0000269|PubMed:21120944, ECO:0000269|PubMed:22753075, ECO:0000269|PubMed:7757073, ECO:0000269|PubMed:8566964, ECO:0000269|PubMed:8571956, ECO:0000269|PubMed:8574961, ECO:0000269|PubMed:8797773, ECO:0000269|PubMed:8872463, ECO:0000269|PubMed:8993976, ECO:0000269|PubMed:9048925, ECO:0000269|PubMed:9067757, ECO:0000269|PubMed:9218993, ECO:0000269|PubMed:9272156, ECO:0000269|PubMed:9298827, ECO:0000269|PubMed:9311737, ECO:0000269|PubMed:9326924, ECO:0000269|PubMed:9399661, ECO:0000269|PubMed:9559627, ECO:0000269|PubMed:9718327, ECO:0000269|PubMed:9833759, ECO:0000269|PubMed:9927034, ECO:0000269|Ref.5}. Note=The disease is caused by variants affecting the gene represented in this entry."", 'DISEASE: Note=Defects in MLH1 may contribute to lobular carcinoma in situ (LCIS), a non-invasive neoplastic disease of the breast.', 'Endometrial cancer (ENDMC) [MIM', 'Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 1 (IBMPFD1) [MIM', 'Colorectal cancer (CRC) [MIM', 'Muir-Torre syndrome (MRTES) [MIM', ""DISEASE: Note=Some epigenetic changes can be transmitted unchanged through the germline (termed 'epigenetic inheritance'). Evidence that this mechanism occurs in humans is provided by the identification of individuals in whom 1 allele of the MLH1 gene is epigenetically silenced throughout the soma (implying a germline event). These individuals are affected by Lynch syndrome but does not have identifiable mutations in MLH1, even though it is silenced, which demonstrates that an epimutation can phenocopy a genetic disease."", '1 or more colorectal cancers presenting before 50 years of age'}"
