Gene,Entry,Protein names,Gene Names (synonym),Function [CC],Active site,Pathway,Gene Ontology (molecular function),Involvement in disease,ChEMBL
TMPRSS11D,O60235,Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain],HAT,"FUNCTION: May play some biological role in the host defense system on the mucous membrane independently of or in cooperation with other substances in airway mucous or bronchial secretions. Plays a role in the proteolytic processing of ACE2. Proteolytically cleaves and activates the human coronavirus 229E (HCoV-229E) spike glycoprotein which facilitate virus-cell membrane fusions; spike proteins are synthesized and maintained in precursor intermediate folding states and proteolysis permits the refolding and energy release required to create stable virus-cell linkages and membrane coalescence. Preferentially cleaves the C-terminal side of arginine residues at the P1 position of certain peptides, cleaving Boc-Phe-Ser-Arg-4-methylcoumaryl-7-amide most efficiently and having an optimum pH of 8.6 with this substrate. {ECO:0000269|PubMed:23536651, ECO:0000269|PubMed:24227843}.","ACT_SITE 227; /note=""Charge relay system""; /evidence=""ECO:0000250""; ACT_SITE 272; /note=""Charge relay system""; /evidence=""ECO:0000250""; ACT_SITE 368; /note=""Charge relay system""; /evidence=""ECO:0000250""",,peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252],,CHEMBL1795138;
TMPRSS11D,Q9BYF1,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2],,"FUNCTION: Essential counter-regulatory carboxypeptidase of the renin-angiotensin hormone system that is a critical regulator of blood volume, systemic vascular resistance, and thus cardiovascular homeostasis (PubMed:27217402). Converts angiotensin I to angiotensin 1-9, a nine-amino acid peptide with anti-hypertrophic effects in cardiomyocytes, and angiotensin II to angiotensin 1-7, which then acts as a beneficial vasodilator and anti-proliferation agent, counterbalancing the actions of the vasoconstrictor angiotensin II (PubMed:10924499, PubMed:10969042, PubMed:11815627, PubMed:14504186, PubMed:19021774). Also removes the C-terminal residue from three other vasoactive peptides, neurotensin, kinetensin, and des-Arg bradykinin, but is not active on bradykinin (PubMed:10969042, PubMed:11815627). Also cleaves other biological peptides, such as apelins (apelin-13, [Pyr1]apelin-13, apelin-17, apelin-36), casomorphins (beta-casomorphin-7, neocasomorphin) and dynorphin A with high efficiency (PubMed:11815627, PubMed:27217402, PubMed:28293165). In addition, ACE2 C-terminus is homologous to collectrin and is responsible for the trafficking of the neutral amino acid transporter SL6A19 to the plasma membrane of gut epithelial cells via direct interaction, regulating its expression on the cell surface and its catalytic activity (PubMed:18424768, PubMed:19185582). {ECO:0000269|PubMed:10924499, ECO:0000269|PubMed:10969042, ECO:0000269|PubMed:11815627, ECO:0000269|PubMed:14504186, ECO:0000269|PubMed:18424768, ECO:0000269|PubMed:19021774, ECO:0000269|PubMed:19185582, ECO:0000269|PubMed:27217402}.; FUNCTION: (Microbial infection) Acts as a receptor for human coronaviruses SARS-CoV and SARS-CoV-2, as well as human coronavirus NL63/HCoV-NL63. {ECO:0000269|PubMed:14647384, ECO:0000269|PubMed:15452268, ECO:0000269|PubMed:15791205, ECO:0000269|PubMed:15897467, ECO:0000269|PubMed:19901337, ECO:0000269|PubMed:24227843, ECO:0000269|PubMed:32142651, ECO:0000269|PubMed:32155444, ECO:0000269|PubMed:32221306, ECO:0000269|PubMed:32225175, ECO:0000269|PubMed:33000221, ECO:0000269|PubMed:33082294, ECO:0000269|PubMed:33432067}.; FUNCTION: [Isoform 2]: Non-functional as a carboxypeptidase. {ECO:0000269|PubMed:33077916}.; FUNCTION: [Isoform 2]: (Microbial infection) Non-functional as a receptor for human coronavirus SARS-CoV-2. {ECO:0000269|PubMed:33077916, ECO:0000269|PubMed:33432184}.","ACT_SITE 375; /note=""Proton acceptor""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01355, ECO:0000305|PubMed:14754895, ECO:0000305|PubMed:27217402""; ACT_SITE 505; /note=""Proton donor""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01355, ECO:0000305|PubMed:14754895""",,carboxypeptidase activity [GO:0004180]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270],,CHEMBL3736;
TMPRSS11D,O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP),SGT SGT1,"FUNCTION: Co-chaperone that binds misfolded and hydrophobic patches-containing client proteins in the cytosol. Mediates their targeting to the endoplasmic reticulum but also regulates their sorting to the proteasome when targeting fails (PubMed:28104892). Functions in tail-anchored/type II transmembrane proteins membrane insertion constituting with ASNA1 and the BAG6 complex a targeting module (PubMed:28104892). Functions upstream of the BAG6 complex and ASNA1, binding more rapidly the transmembrane domain of newly synthesized proteins (PubMed:25535373, PubMed:28104892). It is also involved in the regulation of the endoplasmic reticulum-associated misfolded protein catabolic process via its interaction with BAG6: collaborates with the BAG6 complex to maintain hydrophobic substrates in non-ubiquitinated states (PubMed:23129660, PubMed:25179605). Competes with RNF126 for interaction with BAG6, preventing the ubiquitination of client proteins associated with the BAG6 complex (PubMed:27193484). Binds directly to HSC70 and HSP70 and regulates their ATPase activity (PubMed:18759457). {ECO:0000269|PubMed:18759457, ECO:0000269|PubMed:23129660, ECO:0000269|PubMed:25179605, ECO:0000269|PubMed:25535373, ECO:0000269|PubMed:27193484, ECO:0000269|PubMed:28104892}.; FUNCTION: (Microbial infection) In case of infection by polyomavirus, involved in the virus endoplasmic reticulum membrane penetration and infection via interaction with DNAJB12, DNAJB14 and HSPA8/Hsc70 (PubMed:24675744). {ECO:0000269|PubMed:24675744}.",,,BAT3 complex binding [GO:1904288]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090],,
TMPRSS11D,H0Y8K7,Transmembrane serine protease 11D,,,,,,,
TMPRSS11D,Q4W5K4,Uncharacterized protein HAT,,,,,serine-type endopeptidase activity [GO:0004252],,
MCM5,P33992,DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46),CDC46,"FUNCTION: Acts as a component of the MCM2-7 complex (MCM complex) which is the replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. Core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built (PubMed:16899510, PubMed:32453425, PubMed:34694004, PubMed:34700328, PubMed:35585232). The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity (PubMed:32453425). {ECO:0000269|PubMed:16899510, ECO:0000269|PubMed:32453425, ECO:0000269|PubMed:34694004, ECO:0000269|PubMed:34700328, ECO:0000269|PubMed:35585232}.",,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent H2AZ histone chaperone activity [GO:0140849]; ATP-dependent H3-H4 histone complex chaperone activity [GO:0140665]; chromatin extrusion motor activity [GO:0140584]; cohesin loader activity [GO:0061775]; DNA clamp loader activity [GO:0003689]; DNA replication origin binding [GO:0003688]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; single-stranded DNA binding [GO:0003697],"DISEASE: Meier-Gorlin syndrome 8 (MGORS8) [MIM:617564]: A form of Meier-Gorlin syndrome, a syndrome characterized by bilateral microtia, aplasia/hypoplasia of the patellae, and severe intrauterine and postnatal growth retardation with short stature and poor weight gain. Additional clinical findings include anomalies of cranial sutures, microcephaly, apparently low-set and simple ears, microstomia, full lips, highly arched or cleft palate, micrognathia, genitourinary tract anomalies, and various skeletal anomalies. While almost all cases have primordial dwarfism with substantial prenatal and postnatal growth retardation, not all cases have microcephaly, and microtia and absent/hypoplastic patella are absent in some. Despite the presence of microcephaly, intellect is usually normal. MGORS8 inheritance is autosomal recessive. {ECO:0000269|PubMed:28198391}. Note=The disease is caused by variants affecting the gene represented in this entry.",CHEMBL4630815;
MCM5,Q96HA7,Tonsoku-like protein (Inhibitor of kappa B-related protein) (I-kappa-B-related protein) (IkappaBR) (NF-kappa-B inhibitor-like protein 2) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2),IKBR NFKBIL2,"FUNCTION: Component of the MMS22L-TONSL complex, a complex that promotes homologous recombination-mediated repair of double-strand breaks (DSBs) at stalled or collapsed replication forks (PubMed:21055983, PubMed:21055984, PubMed:21055985, PubMed:21113133, PubMed:26527279, PubMed:27338793, PubMed:27797818, PubMed:29478807, PubMed:30773278). The MMS22L-TONSL complex is required to maintain genome integrity during DNA replication (PubMed:21055983, PubMed:21055984, PubMed:21055985). It mediates the assembly of RAD51 filaments on single-stranded DNA (ssDNA): the MMS22L-TONSL complex is recruited to DSBs following histone replacement by histone chaperones and eviction of the replication protein A complex (RPA/RP-A) from DSBs (PubMed:21055983, PubMed:21055984, PubMed:21055985, PubMed:27797818, PubMed:29478807). Following recruitment to DSBs, the TONSL-MMS22L complex promotes recruitment of RAD51 filaments and subsequent homologous recombination (PubMed:27797818, PubMed:29478807). Within the complex, TONSL acts as a histone reader, which recognizes and binds newly synthesized histones following their replacement by histone chaperones (PubMed:27338793, PubMed:29478807). Specifically binds histone H4 lacking methylation at 'Lys-20' (H4K20me0) and histone H3.1 (PubMed:27338793). {ECO:0000269|PubMed:21055983, ECO:0000269|PubMed:21055984, ECO:0000269|PubMed:21055985, ECO:0000269|PubMed:21113133, ECO:0000269|PubMed:26527279, ECO:0000269|PubMed:27338793, ECO:0000269|PubMed:27797818, ECO:0000269|PubMed:29478807, ECO:0000269|PubMed:30773278}.",,,histone binding [GO:0042393]; histone reader activity [GO:0140566],"DISEASE: Spondyloepimetaphyseal dysplasia, sponastrime type (SEMDSP) [MIM:271510]: An autosomal recessive bone disease characterized by spine abnormalities, mid-face hypoplasia with a depressed nasal bridge, and striation of the metaphyses. Additional features include disproportionate short stature with exaggerated lumbar lordosis, scoliosis, coxa vara, limited elbow extension, small dysplastic epiphyses, childhood cataracts, short dental roots, and hypogammaglobulinemia. Disease severity and clinical manifestations are variable. Some patients have intellectual disability. {ECO:0000269|PubMed:30773277, ECO:0000269|PubMed:30773278, ECO:0000269|PubMed:32959051}. Note=The disease is caused by variants affecting the gene represented in this entry.",
MCM5,Q9Y232,Chromodomain Y-like protein (CDY-like) (Crotonyl-CoA hydratase) (EC 4.2.1.-),CDYL1,"FUNCTION: [Isoform 2]: Chromatin reader protein that recognizes and binds histone H3 trimethylated at 'Lys-9', dimethylated at 'Lys-27' and trimethylated at 'Lys-27' (H3K9me3, H3K27me2 and H3K27me3, respectively) (PubMed:19808672, PubMed:28402439). Part of multimeric repressive chromatin complexes, where it is required for transmission and restoration of repressive histone marks, thereby preserving the epigenetic landscape (PubMed:28402439). Required for chromatin targeting and maximal enzymatic activity of Polycomb repressive complex 2 (PRC2); acts as a positive regulator of PRC2 activity by bridging the pre-existing histone H3K27me3 and newly recruited PRC2 on neighboring nucleosomes (PubMed:22009739). Acts as a corepressor for REST by facilitating histone-lysine N-methyltransferase EHMT2 recruitment and H3K9 dimethylation at REST target genes for repression (PubMed:19061646). Involved in X chromosome inactivation in females: recruited to Xist RNA-coated X chromosome and facilitates propagation of H3K9me2 by anchoring EHMT2 (By similarity). Promotes EZH2 accumulation and H3K27me3 methylation at DNA double strand breaks (DSBs), thereby facilitating transcriptional repression at sites of DNA damage and homology-directed repair of DSBs (PubMed:29177481). Required for neuronal migration during brain development by repressing expression of RHOA (By similarity). By repressing the expression of SCN8A, contributes to the inhibition of intrinsic neuronal excitability and epileptogenesis (By similarity). In addition to acting as a chromatin reader, acts as a hydro-lyase (PubMed:28803779). Shows crotonyl-coA hydratase activity by mediating the conversion of crotonyl-CoA ((2E)-butenoyl-CoA) to beta-hydroxybutyryl-CoA (3-hydroxybutanoyl-CoA), thereby acting as a negative regulator of histone crotonylation (PubMed:28803779). Histone crotonylation is required during spermatogenesis; down-regulation of histone crotonylation by CDYL regulates the reactivation of sex chromosome-linked genes in round spermatids and histone replacement in elongating spermatids (By similarity). By regulating histone crotonylation and trimethylation of H3K27, may be involved in stress-induced depression-like behaviors, possibly by regulating VGF expression (By similarity). {ECO:0000250|UniProtKB:Q9WTK2, ECO:0000269|PubMed:19061646, ECO:0000269|PubMed:19808672, ECO:0000269|PubMed:22009739, ECO:0000269|PubMed:28402439, ECO:0000269|PubMed:28803779, ECO:0000269|PubMed:29177481}.; FUNCTION: [Isoform 1]: Not able to recognize and bind histone H3K9me3, histone H3K27me2 and histone H3K27me3, due to the presence of a N-terminal extension that inactivates the chromo domain (PubMed:19808672). {ECO:0000269|PubMed:19808672}.; FUNCTION: [Isoform 3]: Not able to recognize and bind histone H3K9me3, histone H3K27me2 and histone H3K27me3, due to the absence of the chromo domain (PubMed:19808672). Acts as a negative regulator of isoform 2 by displacing isoform 2 from chromatin. {ECO:0000269|PubMed:19808672}.",,,chromatin binding [GO:0003682]; crotonyl-CoA hydratase activity [GO:0120092]; identical protein binding [GO:0042802]; methylated histone binding [GO:0035064]; protein-macromolecule adaptor activity [GO:0030674]; transcription corepressor activity [GO:0003714],,CHEMBL3879827;
MCM5,B1AHB0,DNA replication licensing factor MCM5 (EC 3.6.4.12),,"FUNCTION: Acts as a component of the MCM2-7 complex (MCM complex) which is the replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. Core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity. {ECO:0000256|ARBA:ARBA00045440}.; FUNCTION: Acts as component of the MCM2-7 complex (MCM complex) which is the replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity. {ECO:0000256|RuleBase:RU368063}.",,,ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; hydrolase activity [GO:0016787]; single-stranded 3'-5' DNA helicase activity [GO:1990518],,
MCM5,A8K521,DNA replication licensing factor MCM5 (EC 3.6.4.12),,"FUNCTION: Acts as a component of the MCM2-7 complex (MCM complex) which is the replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. Core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity. {ECO:0000256|ARBA:ARBA00045440}.; FUNCTION: Acts as component of the MCM2-7 complex (MCM complex) which is the replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity. {ECO:0000256|RuleBase:RU368063}.",,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent H2AZ histone chaperone activity [GO:0140849]; ATP-dependent H3-H4 histone complex chaperone activity [GO:0140665]; chromatin extrusion motor activity [GO:0140584]; cohesin loader activity [GO:0061775]; DNA clamp loader activity [GO:0003689]; DNA replication origin binding [GO:0003688]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; single-stranded 3'-5' DNA helicase activity [GO:1990518],,
