Gene,Entry,Protein names,Gene Names (synonym),Function [CC],Active site,Pathway,Gene Ontology (molecular function),Involvement in disease,ChEMBL
CYP51A1,Q16850,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CYP51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),CYP51,"FUNCTION: Sterol 14alpha-demethylase that plays a critical role in the cholesterol biosynthesis pathway, being cholesterol the major sterol component in mammalian membranes as well as a precursor for bile acid and steroid hormone synthesis (PubMed:20149798, PubMed:8619637, PubMed:9559662). Cytochrome P450 monooxygenase that catalyzes the three-step oxidative removal of the 14alpha-methyl group (C-32) of sterols such as lanosterol (lanosta-8,24-dien-3beta-ol) and 24,25-dihydrolanosterol (DHL) in the form of formate, and converts the sterols to 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol and 4,4-dimethyl-8,14-cholestadien-3beta-ol, respectively, which are intermediates of cholesterol biosynthesis (PubMed:20149798, PubMed:8619637, PubMed:9559662). Can also demethylate substrates not intrinsic to mammals, such as eburicol (24-methylene-24,25-dihydrolanosterol), but at a lower rate than DHL (PubMed:9559662). {ECO:0000269|PubMed:20149798, ECO:0000269|PubMed:8619637, ECO:0000269|PubMed:9559662}.",,PATHWAY: Steroid biosynthesis; zymosterol biosynthesis; zymosterol from lanosterol: step 1/6. {ECO:0000305|PubMed:8619637}.,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; sterol 14-demethylase activity [GO:0008398]",,CHEMBL3849;
CYP51A1,H7C0D0,Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P450LI),,"FUNCTION: Sterol 14alpha-demethylase that plays a critical role in the cholesterol biosynthesis pathway, being cholesterol the major sterol component in mammalian membranes as well as a precursor for bile acid and steroid hormone synthesis. Cytochrome P450 monooxygenase that catalyzes the three-step oxidative removal of the 14alpha-methyl group (C-32) of sterols such as lanosterol (lanosta-8,24-dien-3beta-ol) and 24,25-dihydrolanosterol (DHL) in the form of formate, and converts the sterols to 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol and 4,4-dimethyl-8,14-cholestadien-3beta-ol, respectively, which are intermediates of cholesterol biosynthesis. Can also demethylate substrates not intrinsic to mammals, such as eburicol (24-methylene-24,25-dihydrolanosterol), but at a lower rate than DHL. {ECO:0000256|ARBA:ARBA00046178}.",,PATHWAY: Steroid biosynthesis; zymosterol biosynthesis; zymosterol from lanosterol: step 1/6. {ECO:0000256|ARBA:ARBA00037887}.,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,
CYP51A1,O43866,CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha),API6,"FUNCTION: Secreted protein that acts as a key regulator of lipid synthesis: mainly expressed by macrophages in lymphoid and inflamed tissues and regulates mechanisms in inflammatory responses, such as infection or atherosclerosis. Able to inhibit lipid droplet size in adipocytes. Following incorporation into mature adipocytes via CD36-mediated endocytosis, associates with cytosolic FASN, inhibiting fatty acid synthase activity and leading to lipolysis, the degradation of triacylglycerols into glycerol and free fatty acids (FFA). CD5L-induced lipolysis occurs with progression of obesity: participates in obesity-associated inflammation following recruitment of inflammatory macrophages into adipose tissues, a cause of insulin resistance and obesity-related metabolic disease. Regulation of intracellular lipids mediated by CD5L has a direct effect on transcription regulation mediated by nuclear receptors ROR-gamma (RORC). Acts as a key regulator of metabolic switch in T-helper Th17 cells. Regulates the expression of pro-inflammatory genes in Th17 cells by altering the lipid content and limiting synthesis of cholesterol ligand of RORC, the master transcription factor of Th17-cell differentiation. CD5L is mainly present in non-pathogenic Th17 cells, where it decreases the content of polyunsaturated fatty acyls (PUFA), affecting two metabolic proteins MSMO1 and CYP51A1, which synthesize ligands of RORC, limiting RORC activity and expression of pro-inflammatory genes. Participates in obesity-associated autoimmunity via its association with IgM, interfering with the binding of IgM to Fcalpha/mu receptor and enhancing the development of long-lived plasma cells that produce high-affinity IgG autoantibodies (By similarity). Also acts as an inhibitor of apoptosis in macrophages: promotes macrophage survival from the apoptotic effects of oxidized lipids in case of atherosclerosis (PubMed:24295828). Involved in early response to microbial infection against various pathogens by acting as a pattern recognition receptor and by promoting autophagy (PubMed:16030018, PubMed:24223991, PubMed:24583716, PubMed:25713983). {ECO:0000250|UniProtKB:Q9QWK4, ECO:0000269|PubMed:16030018, ECO:0000269|PubMed:24223991, ECO:0000269|PubMed:24295828, ECO:0000269|PubMed:24583716, ECO:0000269|PubMed:25713983}.",,,serine-type endopeptidase activity [GO:0004252],,
CYP51A1,Q05D40,CYP51A1 protein,,,,,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,
CYP51A1,A0A8I5KRT9,Cytochrome P450 family 51 subfamily A member 1,,,,,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,
PCP4,P48539,Calmodulin regulator protein PCP4 (Brain-specific polypeptide PEP-19) (Purkinje cell protein 4),PEP19,"FUNCTION: Functions as a modulator of calcium-binding by calmodulin. Thereby, regulates calmodulin activity and the different processes it controls (PubMed:19106096, PubMed:23204517, PubMed:27876793). For instance, may play a role in neuronal differentiation through activation of calmodulin-dependent kinase signaling pathways (PubMed:21491429). {ECO:0000269|PubMed:19106096, ECO:0000269|PubMed:21491429, ECO:0000269|PubMed:23204517, ECO:0000269|PubMed:27876793}.",,,calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516],,
PCP4,P0DP23,Calmodulin-1,CALM CAM CAM1,"FUNCTION: Calmodulin acts as part of a calcium signal transduction pathway by mediating the control of a large number of enzymes, ion channels, aquaporins and other proteins through calcium-binding (PubMed:16760425, PubMed:23893133, PubMed:26969752, PubMed:27165696, PubMed:28890335, PubMed:31454269, PubMed:35568036). Calcium-binding is required for the activation of calmodulin (PubMed:16760425, PubMed:23893133, PubMed:26969752, PubMed:27165696, PubMed:28890335, PubMed:31454269, PubMed:35568036). Among the enzymes to be stimulated by the calmodulin-calcium complex are a number of protein kinases, such as myosin light-chain kinases and calmodulin-dependent protein kinase type II (CaMK2), and phosphatases (PubMed:16760425, PubMed:23893133, PubMed:26969752, PubMed:27165696, PubMed:28890335, PubMed:31454269, PubMed:35568036). Together with CCP110 and centrin, is involved in a genetic pathway that regulates the centrosome cycle and progression through cytokinesis (PubMed:16760425). Is a regulator of voltage-dependent L-type calcium channels (PubMed:31454269). Mediates calcium-dependent inactivation of CACNA1C (PubMed:26969752). Positively regulates calcium-activated potassium channel activity of KCNN2 (PubMed:27165696). Forms a potassium channel complex with KCNQ1 and regulates electrophysiological activity of the channel via calcium-binding (PubMed:25441029). Acts as a sensor to modulate the endoplasmic reticulum contacts with other organelles mediated by VMP1:ATP2A2 (PubMed:28890335). {ECO:0000269|PubMed:16760425, ECO:0000269|PubMed:23893133, ECO:0000269|PubMed:25441029, ECO:0000269|PubMed:26969752, ECO:0000269|PubMed:27165696, ECO:0000269|PubMed:28890335, ECO:0000269|PubMed:31454269, ECO:0000269|PubMed:35568036}.; FUNCTION: (Microbial infection) Required for Legionella pneumophila SidJ glutamylase activity. {ECO:0000269|PubMed:31330532}.; FUNCTION: (Microbial infection) Required for C.violaceum CopC and S.flexneri OspC3 arginine ADP-riboxanase activity. {ECO:0000269|PubMed:35338844, ECO:0000269|PubMed:35446120, ECO:0000269|PubMed:36423631, ECO:0000269|PubMed:36624349}.",,,adenylate cyclase activator activity [GO:0010856]; calcium channel inhibitor activity [GO:0019855]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; protein kinase binding [GO:0019901]; protein phosphatase activator activity [GO:0072542]; protein serine/threonine kinase activator activity [GO:0043539]; titin binding [GO:0031432]; transmembrane transporter binding [GO:0044325],"DISEASE: Ventricular tachycardia, catecholaminergic polymorphic, 4 (CPVT4) [MIM:614916]: An arrhythmogenic disorder characterized by stress-induced, bidirectional ventricular tachycardia that may degenerate into cardiac arrest and cause sudden death. Patients present with recurrent syncope, seizures, or sudden death after physical activity or emotional stress. CPVT4 inheritance is autosomal dominant. {ECO:0000269|PubMed:23040497, ECO:0000269|PubMed:26164367, ECO:0000269|PubMed:27165696, ECO:0000269|PubMed:27516456}. Note=The disease is caused by variants affecting the gene represented in this entry. Mutations in CALM1 are the cause of CPVT4.; DISEASE: Long QT syndrome 14 (LQT14) [MIM:616247]: A form of long QT syndrome, a heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. {ECO:0000269|PubMed:23388215, ECO:0000269|PubMed:24076290, ECO:0000269|PubMed:25036739, ECO:0000269|PubMed:26164367, ECO:0000269|PubMed:26969752, ECO:0000269|PubMed:27165696, ECO:0000269|PubMed:28158429, ECO:0000269|PubMed:31454269}. Note=The disease is caused by variants affecting the gene represented in this entry.",CHEMBL6093;
PCP4,P0DP25,Calmodulin-3,CALML2 CAM3 CAMC CAMIII,"FUNCTION: Calmodulin acts as part of a calcium signal transduction pathway by mediating the control of a large number of enzymes, ion channels, aquaporins and other proteins through calcium-binding (PubMed:16760425, PubMed:31454269). Calcium-binding is required for the activation of calmodulin (PubMed:16760425, PubMed:31454269, PubMed:35568036). Among the enzymes to be stimulated by the calmodulin-calcium complex are a number of protein kinases, such as myosin light-chain kinases and calmodulin-dependent protein kinase type II (CaMK2), and phosphatases (PubMed:16760425, PubMed:35568036). Together with CCP110 and centrin, is involved in a genetic pathway that regulates the centrosome cycle and progression through cytokinesis (PubMed:16760425). {ECO:0000269|PubMed:16760425, ECO:0000269|PubMed:31454269, ECO:0000269|PubMed:35568036}.; FUNCTION: (Microbial infection) Required for C.violaceum CopC and S.flexneri OspC3 arginine ADP-riboxanase activity. {ECO:0000269|PubMed:35338844, ECO:0000269|PubMed:35446120, ECO:0000269|PubMed:36423631, ECO:0000269|PubMed:36624349}.",,,adenylate cyclase activator activity [GO:0010856]; adenylate cyclase binding [GO:0008179]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; protein kinase binding [GO:0019901]; protein phosphatase activator activity [GO:0072542]; protein serine/threonine kinase activator activity [GO:0043539]; titin binding [GO:0031432]; transmembrane transporter binding [GO:0044325],"DISEASE: Ventricular tachycardia, catecholaminergic polymorphic, 6 (CPVT6) [MIM:618782]: An arrhythmogenic disorder characterized by stress-induced, bidirectional ventricular tachycardia that may degenerate into cardiac arrest and cause sudden death. Patients present with recurrent syncope, seizures, or sudden death after physical activity or emotional stress. CPVT6 inheritance is autosomal dominant. {ECO:0000269|PubMed:27516456}. Note=The disease may be caused by variants affecting the gene represented in this entry.; DISEASE: Long QT syndrome 16 (LQT16) [MIM:618782]: An autosomal dominant form of long QT syndrome, a heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. {ECO:0000269|PubMed:25460178, ECO:0000269|PubMed:31454269}. Note=The disease is caused by variants affecting the gene represented in this entry.",
PCP4,P0DP24,Calmodulin-2,CAM2 CAMB,"FUNCTION: Calmodulin acts as part of a calcium signal transduction pathway by mediating the control of a large number of enzymes, ion channels, aquaporins and other proteins through calcium-binding (PubMed:16760425, PubMed:26969752, PubMed:27165696). Calcium-binding is required for the activation of calmodulin (PubMed:16760425, PubMed:26969752, PubMed:27165696, PubMed:35568036). Among the enzymes to be stimulated by the calmodulin-calcium complex are a number of protein kinases, such as myosin light-chain kinases and calmodulin-dependent protein kinase type II (CaMK2), and phosphatases (PubMed:16760425, PubMed:26969752, PubMed:27165696, PubMed:35568036). Together with CCP110 and centrin, is involved in a genetic pathway that regulates the centrosome cycle and progression through cytokinesis (PubMed:16760425). Mediates calcium-dependent inactivation of CACNA1C (PubMed:26969752). Positively regulates calcium-activated potassium channel activity of KCNN2 (PubMed:27165696). {ECO:0000269|PubMed:16760425, ECO:0000269|PubMed:26969752, ECO:0000269|PubMed:27165696, ECO:0000269|PubMed:35568036}.; FUNCTION: (Microbial infection) Required for C.violaceum CopC and S.flexneri OspC3 arginine ADP-riboxanase activity. {ECO:0000269|PubMed:35338844, ECO:0000269|PubMed:35446120, ECO:0000269|PubMed:36423631, ECO:0000269|PubMed:36624349}.",,,adenylate cyclase activator activity [GO:0010856]; adenylate cyclase binding [GO:0008179]; calcium channel inhibitor activity [GO:0019855]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; protein kinase binding [GO:0019901]; protein phosphatase activator activity [GO:0072542]; protein serine/threonine kinase activator activity [GO:0043539]; titin binding [GO:0031432]; transmembrane transporter binding [GO:0044325],"DISEASE: Long QT syndrome 15 (LQT15) [MIM:616249]: A form of long QT syndrome, a heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. {ECO:0000269|PubMed:23388215, ECO:0000269|PubMed:24917665, ECO:0000269|PubMed:26164367, ECO:0000269|PubMed:26969752, ECO:0000269|PubMed:27165696, ECO:0000269|PubMed:27516456}. Note=The disease is caused by variants affecting the gene represented in this entry. Mutations in CALM2 are the cause of LQT15.",CHEMBL4296043;
PCP4,Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1),DRIP5 RAP1,"FUNCTION: Acts both as a regulator of telomere function and as a transcription regulator. Involved in the regulation of telomere length and protection as a component of the shelterin complex (telosome). In contrast to other components of the shelterin complex, it is dispensible for telomere capping and does not participate in the protection of telomeres against non-homologous end-joining (NHEJ)-mediated repair. Instead, it is required to negatively regulate telomere recombination and is essential for repressing homology-directed repair (HDR), which can affect telomere length. Does not bind DNA directly: recruited to telomeric double-stranded 5'-TTAGGG-3' repeats via its interaction with TERF2. Independently of its function in telomeres, also acts as a transcription regulator: recruited to extratelomeric 5'-TTAGGG-3' sites via its association with TERF2 or other factors, and regulates gene expression. When cytoplasmic, associates with the I-kappa-B-kinase (IKK) complex and acts as a regulator of the NF-kappa-B signaling by promoting IKK-mediated phosphorylation of RELA/p65, leading to activate expression of NF-kappa-B target genes. {ECO:0000269|PubMed:16166375, ECO:0000269|PubMed:19763083}.",,,G-rich strand telomeric DNA binding [GO:0098505]; phosphatase binding [GO:0019902]; telomeric DNA binding [GO:0042162],,CHEMBL3751647;
