Gene,Entry,Protein names,Gene Names (synonym),Function [CC],Active site,Pathway,Gene Ontology (molecular function),Involvement in disease,ChEMBL
GLIS2,Q9BZE0,Zinc finger protein GLIS2 (GLI-similar 2) (Neuronal Krueppel-like protein),NKL,"FUNCTION: Can act either as a transcriptional repressor or as a transcriptional activator, depending on the cell context. Acts as a repressor of the Hedgehog signaling pathway (By similarity). Represses the Hedgehog-dependent expression of Wnt4 (By similarity). Necessary to maintain the differentiated epithelial phenotype in renal cells through the inhibition of SNAI1, which itself induces the epithelial-to-mesenchymal transition (By similarity). Represses transcriptional activation mediated by CTNNB1 in the Wnt signaling pathway. May act by recruiting the corepressors CTBP1 and HDAC3. May be involved in neuron differentiation (By similarity). {ECO:0000250}.",,,"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]","DISEASE: Nephronophthisis 7 (NPHP7) [MIM:611498]: An autosomal recessive disorder resulting in end-stage renal disease during childhood or adolescence. It is a progressive tubulo-interstitial kidney disorder histologically characterized by modifications of the tubules with thickening of the basement membrane, interstitial fibrosis and, in the advanced stages, medullary cysts. {ECO:0000269|PubMed:17618285}. Note=The disease is caused by variants affecting the gene represented in this entry.",
GLIS2,O60716,Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas)),KIAA0384,"FUNCTION: Key regulator of cell-cell adhesion that associates with and regulates the cell adhesion properties of both C-, E- and N-cadherins, being critical for their surface stability (PubMed:14610055, PubMed:20371349). Promotes localization and retention of DSG3 at cell-cell junctions, via its interaction with DSG3 (PubMed:18343367). Beside cell-cell adhesion, regulates gene transcription through several transcription factors including ZBTB33/Kaiso2 and GLIS2, and the activity of Rho family GTPases and downstream cytoskeletal dynamics (PubMed:10207085, PubMed:20371349). Implicated both in cell transformation by SRC and in ligand-induced receptor signaling through the EGF, PDGF, CSF-1 and ERBB2 receptors (PubMed:17344476). {ECO:0000269|PubMed:10207085, ECO:0000269|PubMed:14610055, ECO:0000269|PubMed:17344476, ECO:0000269|PubMed:18343367, ECO:0000269|PubMed:20371349}.",,,beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; protein sequestering activity [GO:0140311]; protein tyrosine kinase binding [GO:1990782]; signaling receptor binding [GO:0005102],"DISEASE: Blepharocheilodontic syndrome 2 (BCDS2) [MIM:617681]: A form of blepharocheilodontic syndrome, a rare autosomal dominant disorder. It is characterized by lower eyelid ectropion, upper eyelid distichiasis, euryblepharon, bilateral cleft lip and palate, and features of ectodermal dysplasia, including hair anomalies, conical teeth and tooth agenesis. An additional rare manifestation is imperforate anus. There is considerable phenotypic variability among affected individuals. {ECO:0000269|PubMed:28301459}. Note=The disease is caused by variants affecting the gene represented in this entry.",
GLIS2,P35222,Catenin beta-1 (Beta-catenin),CTNNB,"FUNCTION: Key downstream component of the canonical Wnt signaling pathway (PubMed:17524503, PubMed:18077326, PubMed:18086858, PubMed:18957423, PubMed:21262353, PubMed:22155184, PubMed:22647378, PubMed:22699938). In the absence of Wnt, forms a complex with AXIN1, AXIN2, APC, CSNK1A1 and GSK3B that promotes phosphorylation on N-terminal Ser and Thr residues and ubiquitination of CTNNB1 via BTRC and its subsequent degradation by the proteasome (PubMed:17524503, PubMed:18077326, PubMed:18086858, PubMed:18957423, PubMed:21262353, PubMed:22155184, PubMed:22647378, PubMed:22699938). In the presence of Wnt ligand, CTNNB1 is not ubiquitinated and accumulates in the nucleus, where it acts as a coactivator for transcription factors of the TCF/LEF family, leading to activate Wnt responsive genes (PubMed:17524503, PubMed:18077326, PubMed:18086858, PubMed:18957423, PubMed:21262353, PubMed:22155184, PubMed:22647378, PubMed:22699938). Also acts as a coactivator for other transcription factors, such as NR5A2 (PubMed:22187462). Involved in the regulation of cell adhesion, as component of an E-cadherin:catenin adhesion complex (By similarity). Acts as a negative regulator of centrosome cohesion (PubMed:18086858). Involved in the CDK2/PTPN6/CTNNB1/CEACAM1 pathway of insulin internalization (PubMed:21262353). Blocks anoikis of malignant kidney and intestinal epithelial cells and promotes their anchorage-independent growth by down-regulating DAPK2 (PubMed:18957423). Disrupts PML function and PML-NB formation by inhibiting RANBP2-mediated sumoylation of PML (PubMed:22155184). Promotes neurogenesis by maintaining sympathetic neuroblasts within the cell cycle (By similarity). Involved in chondrocyte differentiation via interaction with SOX9: SOX9-binding competes with the binding sites of TCF/LEF within CTNNB1, thereby inhibiting the Wnt signaling (By similarity). Acts as a positive regulator of odontoblast differentiation during mesenchymal tooth germ formation, via promoting the transcription of differentiation factors such as LEF1, BMP2 and BMP4 (By similarity). Activity is repressed in a MSX1-mediated manner at the bell stage of mesenchymal tooth germ formation which prevents premature differentiation of odontoblasts (By similarity). {ECO:0000250|UniProtKB:Q02248, ECO:0000269|PubMed:17524503, ECO:0000269|PubMed:18077326, ECO:0000269|PubMed:18086858, ECO:0000269|PubMed:18957423, ECO:0000269|PubMed:21262353, ECO:0000269|PubMed:22155184, ECO:0000269|PubMed:22187462, ECO:0000269|PubMed:22647378, ECO:0000269|PubMed:22699938}.",,,alpha-catenin binding [GO:0045294]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; disordered domain specific binding [GO:0097718]; DNA-binding transcription factor binding [GO:0140297]; enzyme binding [GO:0019899]; histone methyltransferase binding [GO:1990226]; I-SMAD binding [GO:0070411]; kinase binding [GO:0019900]; nuclear estrogen receptor binding [GO:0030331]; nuclear receptor binding [GO:0016922]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling receptor binding [GO:0005102]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; transcription coregulator binding [GO:0001221]; transcription corepressor binding [GO:0001222]; transmembrane transporter binding [GO:0044325]; ubiquitin protein ligase binding [GO:0031625],"DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:9065402}. Note=The gene represented in this entry may be involved in disease pathogenesis.; DISEASE: Note=Activating mutations in CTNNB1 have oncogenic activity resulting in tumor development. Somatic mutations are found in various tumor types, including colon cancers, ovarian and prostate carcinomas, hepatoblastoma (HB), hepatocellular carcinoma (HCC). HBs are malignant embryonal tumors mainly affecting young children in the first three years of life.; DISEASE: Pilomatrixoma (PTR) [MIM:132600]: Common benign skin tumor. {ECO:0000269|PubMed:10192393, ECO:0000269|PubMed:11703283, ECO:0000269|PubMed:12027456}. Note=The gene represented in this entry is involved in disease pathogenesis.; DISEASE: Medulloblastoma (MDB) [MIM:155255]: Malignant, invasive embryonal tumor of the cerebellum with a preferential manifestation in children. {ECO:0000269|PubMed:10666372, ECO:0000269|PubMed:12027456}. Note=The gene represented in this entry may be involved in disease pathogenesis.; DISEASE: Ovarian cancer (OC) [MIM:167000]: The term ovarian cancer defines malignancies originating from ovarian tissue. Although many histologic types of ovarian tumors have been described, epithelial ovarian carcinoma is the most common form. Ovarian cancers are often asymptomatic and the recognized signs and symptoms, even of late-stage disease, are vague. Consequently, most patients are diagnosed with advanced disease. {ECO:0000269|PubMed:10391090}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Note=A chromosomal aberration involving CTNNB1 is found in salivary gland pleiomorphic adenomas, the most common benign epithelial tumors of the salivary gland. Translocation t(3;8)(p21;q12) with PLAG1. {ECO:0000269|PubMed:10029085, ECO:0000269|PubMed:9020842}.; DISEASE: Mesothelioma, malignant (MESOM) [MIM:156240]: An aggressive neoplasm of the serosal lining of the chest. It appears as broad sheets of cells, with some regions containing spindle-shaped, sarcoma-like cells and other regions showing adenomatous patterns. Pleural mesotheliomas have been linked to exposure to asbestos. {ECO:0000269|PubMed:11464291}. Note=The gene represented in this entry may be involved in disease pathogenesis.; DISEASE: Neurodevelopmental disorder with spastic diplegia and visual defects (NEDSDV) [MIM:615075]: An autosomal dominant disorder characterized by global developmental delay, severe intellectual disability with absent or very limited speech, microcephaly, spasticity, and visual abnormalities. {ECO:0000269|PubMed:23033978, ECO:0000269|PubMed:25326669, ECO:0000269|PubMed:28514307}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Vitreoretinopathy, exudative 7 (EVR7) [MIM:617572]: A form of exudative vitreoretinopathy, a disorder of the retinal vasculature characterized by an abrupt cessation of growth of peripheral capillaries, leading to an avascular peripheral retina. This may lead to compensatory retinal neovascularization, which is thought to be induced by hypoxia from the initial avascular insult. New vessels are prone to leakage and rupture causing exudates and bleeding, followed by scarring, retinal detachment and blindness. Clinical features can be highly variable, even within the same family. Patients with mild forms of the disease are asymptomatic, and their only disease related abnormality is an arc of avascular retina in the extreme temporal periphery. {ECO:0000269|PubMed:28575650}. Note=The disease is caused by variants affecting the gene represented in this entry.",CHEMBL5866;
GLIS2,Q13363,C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-),CTBP,"FUNCTION: Corepressor targeting diverse transcription regulators such as GLIS2 or BCL6. Has dehydrogenase activity. Involved in controlling the equilibrium between tubular and stacked structures in the Golgi complex. Functions in brown adipose tissue (BAT) differentiation. {ECO:0000269|PubMed:12419229, ECO:0000269|PubMed:15542832, ECO:0000269|PubMed:18212045, ECO:0000269|PubMed:19103759, ECO:0000269|PubMed:9858600}.","ACT_SITE 266; /evidence=""ECO:0000250""; ACT_SITE 295; /evidence=""ECO:0000250""; ACT_SITE 315; /note=""Proton donor""; /evidence=""ECO:0000250""",,"chromatin binding [GO:0003682]; DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; protein domain specific binding [GO:0019904]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coactivator activity [GO:0003713]; transcription coregulator binding [GO:0001221]; transcription corepressor activity [GO:0003714]; transcription corepressor binding [GO:0001222]","DISEASE: Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome (HADDTS) [MIM:617915]: An autosomal dominant disorder characterized by delayed motor development, intellectual disability, failure to thrive, hypotonia, ataxia, and tooth enamel defects. {ECO:0000269|PubMed:27094857}. Note=The disease is caused by variants affecting the gene represented in this entry.",
GLIS2,Q7Z4W3,Keratin-associated protein 19-3 (GTHRP) (Glycine/tyrosine-rich protein),KAP19.3,"FUNCTION: In the hair cortex, hair keratin intermediate filaments are embedded in an interfilamentous matrix, consisting of hair keratin-associated proteins (KRTAP), which are essential for the formation of a rigid and resistant hair shaft through their extensive disulfide bond cross-linking with abundant cysteine residues of hair keratins. The matrix proteins include the high-sulfur and high-glycine-tyrosine keratins.",,,,,
GLIS2,Q9UF11,Pleckstrin homology domain-containing family B member 1 (PH domain-containing family B member 1) (Evectin-1) (PH domain-containing protein in retina 1) (PHRET1) (Pleckstrin homology domain retinal protein 1),EVT1 KPL1 PHR1 PHRET1,,,,,,
GLIS2,Q8N2N9,Ankyrin repeat domain-containing protein 36B (CLL-associated antigen KW-1),,,,,identical protein binding [GO:0042802],,
GLIS2,O15266,Short stature homeobox protein (Pseudoautosomal homeobox-containing osteogenic protein) (Short stature homeobox-containing protein),PHOG,FUNCTION: Controls fundamental aspects of growth and development.,,,"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]","DISEASE: Leri-Weill dyschondrosteosis (LWD) [MIM:127300]: Dominantly inherited skeletal dysplasia characterized by moderate short stature predominantly because of short mesomelic limb segments. It is often associated with the Madelung deformity of the wrist, comprising bowing of the radius and dorsal dislocation of the distal ulna. {ECO:0000269|PubMed:11030412, ECO:0000269|PubMed:11403039}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Langer mesomelic dysplasia (LMD) [MIM:249700]: Autosomal recessive rare skeletal dysplasia characterized by severe short stature owing to shortening and maldevelopment of the mesomelic and rhizomelic segments of the limbs. Associated malformations are rarely reported and intellect is normal in all affected subjects reported to date. {ECO:0000269|PubMed:11889214}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Short stature, idiopathic, X-linked (ISS) [MIM:300582]: A condition defined by a standing height more than 2 standard deviations below the mean (or below the 2.5 percentile) for sex and chronological age, compared with a well-nourished, genetically relevant population, in the absence of specific causative disorders. {ECO:0000269|PubMed:9140395}. Note=The disease is caused by variants affecting the gene represented in this entry.",
GLIS2,P57052,Splicing regulator RBM11 (RNA-binding motif protein 11),,FUNCTION: Tissue-specific splicing factor with potential implication in the regulation of alternative splicing during neuron and germ cell differentiation. Antagonizes SRSF1-mediated BCL-X splicing. May affect the choice of alternative 5' splice sites by binding to specific sequences in exons and antagonizing the SR protein SRSF1. {ECO:0000269|PubMed:21984414}.,,,poly(U) RNA binding [GO:0008266]; protein homodimerization activity [GO:0042803]; single-stranded RNA binding [GO:0003727],,
GLIS2,P61758,Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1),PFDN3,FUNCTION: Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it. Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins. {ECO:0000269|PubMed:9630229}.,,,amyloid-beta binding [GO:0001540]; tubulin binding [GO:0015631]; unfolded protein binding [GO:0051082],,
GLIS2,Q86YR5,G-protein-signaling modulator 1 (Activator of G-protein signaling 3),AGS3,"FUNCTION: Guanine nucleotide dissociation inhibitor (GDI) which functions as a receptor-independent activator of heterotrimeric G-protein signaling. Keeps G(i/o) alpha subunit in its GDP-bound form thus uncoupling heterotrimeric G-proteins signaling from G protein-coupled receptors. Controls spindle orientation and asymmetric cell fate of cerebral cortical progenitors. May also be involved in macroautophagy in intestinal cells. May play a role in drug addiction. {ECO:0000269|PubMed:11024022, ECO:0000269|PubMed:12642577}.",,,G-protein alpha-subunit binding [GO:0001965]; GDP-dissociation inhibitor activity [GO:0005092],,
GLIS2,Q96CS7,Pleckstrin homology domain-containing family B member 2 (PH domain-containing family B member 2) (Evectin-2),EVT2,"FUNCTION: Involved in retrograde transport of recycling endosomes. {ECO:0000269|PubMed:21911378, ECO:0000269|PubMed:22281740}.",,,"phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]",,
