Gene,Entry,Protein names,Gene Names (synonym),Function [CC],Active site,Pathway,Gene Ontology (molecular function),Involvement in disease,ChEMBL
HTR1A,P08908,5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A),ADRB2RL1 ADRBRL1,"FUNCTION: G-protein coupled receptor for 5-hydroxytryptamine (serotonin) (PubMed:22957663, PubMed:3138543, PubMed:33762731, PubMed:37935376, PubMed:37935377, PubMed:8138923, PubMed:8393041). Also functions as a receptor for various drugs and psychoactive substances (PubMed:22957663, PubMed:3138543, PubMed:33762731, PubMed:38552625, PubMed:8138923, PubMed:8393041). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:22957663, PubMed:3138543, PubMed:33762731, PubMed:8138923, PubMed:8393041). HTR1A is coupled to G(i)/G(o) G alpha proteins and mediates inhibitory neurotransmission: signaling inhibits adenylate cyclase activity and activates a phosphatidylinositol-calcium second messenger system that regulates the release of Ca(2+) ions from intracellular stores (PubMed:33762731, PubMed:35610220). Beta-arrestin family members regulate signaling by mediating both receptor desensitization and resensitization processes (PubMed:18476671, PubMed:20363322, PubMed:20945968). Plays a role in the regulation of 5-hydroxytryptamine release and in the regulation of dopamine and 5-hydroxytryptamine metabolism (PubMed:18476671, PubMed:20363322, PubMed:20945968). Plays a role in the regulation of dopamine and 5-hydroxytryptamine levels in the brain, and thereby affects neural activity, mood and behavior (PubMed:18476671, PubMed:20363322, PubMed:20945968). Plays a role in the response to anxiogenic stimuli (PubMed:18476671, PubMed:20363322, PubMed:20945968). {ECO:0000269|PubMed:22957663, ECO:0000269|PubMed:3138543, ECO:0000269|PubMed:33762731, ECO:0000269|PubMed:35610220, ECO:0000269|PubMed:37935376, ECO:0000269|PubMed:37935377, ECO:0000269|PubMed:38552625, ECO:0000269|PubMed:8138923, ECO:0000269|PubMed:8393041, ECO:0000303|PubMed:18476671, ECO:0000303|PubMed:20363322, ECO:0000303|PubMed:20945968}.",,,G protein-coupled serotonin receptor activity [GO:0004993]; Gi/o-coupled serotonin receptor activity [GO:0001586]; neurotransmitter receptor activity [GO:0030594]; receptor-receptor interaction [GO:0090722]; serotonin binding [GO:0051378]; serotonin receptor activity [GO:0099589],"DISEASE: Periodic fever, menstrual cycle-dependent (PFMC) [MIM:614674]: A condition characterized by recurrent fevers up to 40 degrees Celsius associated with the luteal phase of the menstrual cycle. Women show menstrual cycle-dependent physiologic changes in relation to sex hormone levels. Because ovulation triggers a significant change in the hormonal milieu that is similar to local inflammation, a 0.5 to 1.0 degree Celsius increase in basal body temperature after ovulation is commonly associated with progesterone secretion and is believed to be triggered by the induction of several inflammatory cytokines. {ECO:0000269|PubMed:21990073}. Note=The disease is caused by variants affecting the gene represented in this entry.",CHEMBL214;
HTR1A,P47211,Galanin receptor type 1 (GAL1-R) (GALR-1),GALNR GALNR1,"FUNCTION: Receptor for the hormone galanin. The activity of this receptor is mediated by G proteins that inhibit adenylate cyclase activity. {ECO:0000269|PubMed:25691535, ECO:0000269|PubMed:7524088}.",,,G protein-coupled peptide receptor activity [GO:0008528]; galanin receptor activity [GO:0004966]; neuropeptide binding [GO:0042923]; peptide hormone binding [GO:0017046],,CHEMBL4894;
HTR1A,O43194,G-protein coupled receptor 39,,"FUNCTION: Zinc-sensing receptor that can sense changes in extracellular Zn(2+), mediate Zn(2+) signal transmission, and participates in the regulation of numerous physiological processes including glucose homeostasis regulation, gastrointestinal mobility, hormone secretion and cell death (PubMed:18180304). Activation by Zn(2+) in keratinocytes increases the intracellular concentration of Ca(2+) and activates the ERK/MAPK and PI3K/AKT signaling pathways leading to epithelial repair (PubMed:20522546). Plays an essential role in normal wound healing by inducing the production of cytokines including the major inflammatory cytokine IL6 via the PKC/MAPK/CEBPB pathway (By similarity). Regulates adipose tissue metabolism, especially lipolysis, and regulates the function of lipases, such as hormone-sensitive lipase and adipose triglyceride lipase (By similarity). Plays a role in the inhibition of cell death and protects against oxidative, endoplasmic reticulum and mitochondrial stress by inducing secretion of the cytoprotective pigment epithelium-derived growth factor (PEDF) and probably other protective transcripts in a GNA13/RHOA/SRE-dependent manner (PubMed:18180304). Forms dynamic heteroreceptor complexes with HTR1A and GALR1 depending on cell type or specific physiological states, resulting in signaling diversity: HTR1A-GPR39 shows additive increase in signaling along the serum response element (SRE) and NF-kappa-B pathways while GALR1 acts as an antagonist blocking SRE (PubMed:26365466). {ECO:0000250|UniProtKB:Q5U431, ECO:0000269|PubMed:18180304, ECO:0000269|PubMed:20522546, ECO:0000269|PubMed:26365466}.",,,G protein-coupled receptor activity [GO:0004930]; metal ion binding [GO:0046872],,CHEMBL3091266;
HTR1A,Q8NDA8,Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A),HEATR7A KIAA1833,,,,,,
HTR1A,Q6P1N0,Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1) (Putative NF-kappa-B-activating protein 023N),AKI1 LGD2,"FUNCTION: Transcription factor that binds specifically to the DRE (dual repressor element) and represses HTR1A gene transcription in neuronal cells. The combination of calcium and ATP specifically inactivates the binding with FRE. May play a role in the altered regulation of HTR1A associated with anxiety and major depression. Mediates HDAC-independent repression of HTR1A promoter in neuronal cell. Performs essential function in controlling functional maturation of synapses (By similarity). Plays distinct roles depending on its localization. When cytoplasmic, acts as a scaffold protein in the PI3K/PDK1/AKT pathway. Repressor of HTR1A when nuclear. In the centrosome, regulates spindle pole localization of the cohesin subunit SCC1/RAD21, thereby mediating centriole cohesion during mitosis. {ECO:0000250, ECO:0000269|PubMed:20171170}.",,,"cadherin binding [GO:0045296]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","DISEASE: Intellectual developmental disorder, autosomal recessive 3 (MRT3) [MIM:608443]: A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. {ECO:0000269|PubMed:16033914}. Note=The disease is caused by variants affecting the gene represented in this entry.",
HTR1A,Q5BJH7,Protein YIF1B (YIP1-interacting factor homolog B),,"FUNCTION: Functions in endoplasmic reticulum to Golgi vesicle-mediated transport and regulates the proper organization of the endoplasmic reticulum and the Golgi (By similarity). Plays a key role in targeting to neuronal dendrites receptors such as HTR1A (By similarity). Plays also a role in primary cilium and sperm flagellum assembly probably through protein transport to these compartments (PubMed:33103737). {ECO:0000250|UniProtKB:Q6PEC3, ECO:0000250|UniProtKB:Q9CX30, ECO:0000269|PubMed:33103737}.",,,,"DISEASE: Kaya-Barakat-Masson syndrome (KABAMAS) [MIM:619125]: An autosomal recessive neurodevelopmental disorder characterized by impaired intellectual development, absent speech, hypotonia, profound developmental and motor delay with dystonia, poor coordination and spasticity, and visual deficits with brain MRI evidence of ventricle enlargement, myelination alterations and cerebellar atrophy. {ECO:0000269|PubMed:32006098, ECO:0000269|PubMed:33103737}. Note=The disease is caused by variants affecting the gene represented in this entry.",
HTR1A,Q5T0F9,Coiled-coil and C2 domain-containing protein 1B (Five prime repressor element under dual repression-binding protein 2) (FRE under dual repression-binding protein 2) (Freud-2),KIAA1836 LGD1,FUNCTION: Transcription factor that binds specifically to the DRE (dual repressor element) and represses HTR1A gene transcription in neuronal cells. {ECO:0000269|PubMed:19423080}.,,,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",,
HTR1A,Q96RJ0,Trace amine-associated receptor 1 (TaR-1) (Trace amine receptor 1),TA1 TAR1 TRAR1,"FUNCTION: Intracellular G-protein coupled receptor for trace amines, which recognizes endogenous amine-containing metabolites such as beta-phenylethylamine (beta-PEA), 3-iodothyronamine (T1AM), isoamylamine (IAA), cadaverine (CAD), cyclohexylamine (CHA), p-tyramine (p-TYR), trimethylamine (TMA), octopamine and tryptamine (PubMed:11459929, PubMed:11723224, PubMed:15718104, PubMed:31399635, PubMed:36100653, PubMed:37935376, PubMed:37935377, PubMed:37963465, PubMed:38168118). Also functions as a receptor for various drugs and psychoactive substances, such as amphetamine and methamphetamine (PubMed:31399635, PubMed:37935376, PubMed:37935377). Unresponsive to classical biogenic amines, such as epinephrine and histamine and only partially activated by dopamine and serotonin (PubMed:11459929, PubMed:11723224). Expressed in both the central and peripheral nervous system: TAAR1 activation regulates the activity of several neurotransmitter signaling pathways by (1) decreasing the basal firing rates of the neurons involved and by (2) lowering the sensitivity of receptors to neurotransmitters (PubMed:37935376, PubMed:37935377, PubMed:37963465, PubMed:38168118). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:31399635, PubMed:37935376, PubMed:37963465). TAAR1 is coupled with different G(i)/G(o)-, G(s)- or G(q)/G(11) classes of G alpha proteins depending on the ligand (PubMed:31399635, PubMed:37935376, PubMed:37963465). CAD-binding is coupled to G(i)/G(o) G alpha proteins and mediates inhibition of adenylate cyclase activity (PubMed:37935376, PubMed:37963465). T1AM- or beta-PEA-binding is coupled to G(s) G alpha proteins and mediates activation of adenylate cyclase activity (PubMed:37935376, PubMed:37963465). CHA- or IAA-binding is coupled to G(q)/G(11) G alpha proteins and activates phospholipase C-beta, releasing diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) second messengers (PubMed:37935376, PubMed:37963465). TMA-binding is coupled with all three G(i)/G(o)-, G(s)- or G(q)/G(11) G alpha protein subtypes (PubMed:37935376, PubMed:37963465). Amphetamine-binding is coupled with G(s)- or G(12)/G(13) G alpha protein subtypes (PubMed:31399635). {ECO:0000269|PubMed:11459929, ECO:0000269|PubMed:11723224, ECO:0000269|PubMed:15718104, ECO:0000269|PubMed:31399635, ECO:0000269|PubMed:36100653, ECO:0000269|PubMed:37935376, ECO:0000269|PubMed:37935377, ECO:0000269|PubMed:37963465, ECO:0000269|PubMed:38168118}.",,,G protein-coupled receptor activity [GO:0004930]; trace-amine receptor activity [GO:0001594],,CHEMBL5857;
HTR1A,P28223,5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A),HTR2,"FUNCTION: G-protein coupled receptor for 5-hydroxytryptamine (serotonin) (PubMed:1330647, PubMed:18703043, PubMed:19057895, PubMed:21645528, PubMed:22300836, PubMed:35084960, PubMed:38552625). Also functions as a receptor for various drugs and psychoactive substances, including mescaline, psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane (DOI) and lysergic acid diethylamide (LSD) (PubMed:28129538, PubMed:35084960). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:28129538, PubMed:35084960). HTR2A is coupled to G(q)/G(11) G alpha proteins and activates phospholipase C-beta, releasing diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) second messengers that modulate the activity of phosphatidylinositol 3-kinase and promote the release of Ca(2+) ions from intracellular stores, respectively (PubMed:18703043, PubMed:28129538, PubMed:35084960). Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways (PubMed:28129538, PubMed:35084960). Affects neural activity, perception, cognition and mood (PubMed:18297054). Plays a role in the regulation of behavior, including responses to anxiogenic situations and psychoactive substances. Plays a role in intestinal smooth muscle contraction, and may play a role in arterial vasoconstriction (By similarity). {ECO:0000250|UniProtKB:P35363, ECO:0000269|PubMed:1330647, ECO:0000269|PubMed:18297054, ECO:0000269|PubMed:18703043, ECO:0000269|PubMed:19057895, ECO:0000269|PubMed:21645528, ECO:0000269|PubMed:22300836, ECO:0000269|PubMed:28129538, ECO:0000269|PubMed:35084960, ECO:0000269|PubMed:38552625}.; FUNCTION: (Microbial infection) Acts as a receptor for human JC polyomavirus/JCPyV. {ECO:0000269|PubMed:24089568}.",,,"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding [GO:0071886]; G protein-coupled serotonin receptor activity [GO:0004993]; Gq/11-coupled serotonin receptor activity [GO:0001587]; identical protein binding [GO:0042802]; neurotransmitter receptor activity [GO:0030594]; protein tyrosine kinase activator activity [GO:0030296]; protein-containing complex binding [GO:0044877]; serotonin binding [GO:0051378]; serotonin receptor activity [GO:0099589]; virus receptor activity [GO:0001618]",,CHEMBL224;
HTR1A,Q99527,G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Flow-induced endothelial G-protein coupled receptor 1) (FEG-1) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (GPCR-Br) (IL8-related receptor DRY12) (Lymphocyte-derived G-protein coupled receptor) (LYGPR) (Membrane estrogen receptor) (mER),CEPR CMKRL2 DRY12 GPER GPR30,"FUNCTION: G-protein coupled estrogen receptor that binds to 17-beta-estradiol (E2) with high affinity, leading to rapid and transient activation of numerous intracellular signaling pathways. Stimulates cAMP production, calcium mobilization and tyrosine kinase Src inducing the release of heparin-bound epidermal growth factor (HB-EGF) and subsequent transactivation of the epidermal growth factor receptor (EGFR), activating downstream signaling pathways such as PI3K/Akt and ERK/MAPK. Mediates pleiotropic functions among others in the cardiovascular, endocrine, reproductive, immune and central nervous systems. Has a role in cardioprotection by reducing cardiac hypertrophy and perivascular fibrosis in a RAMP3-dependent manner. Regulates arterial blood pressure by stimulating vasodilation and reducing vascular smooth muscle and microvascular endothelial cell proliferation. Plays a role in blood glucose homeostasis contributing to the insulin secretion response by pancreatic beta cells. Triggers mitochondrial apoptosis during pachytene spermatocyte differentiation. Stimulates uterine epithelial cell proliferation. Enhances uterine contractility in response to oxytocin. Contributes to thymic atrophy by inducing apoptosis. Attenuates TNF-mediated endothelial expression of leukocyte adhesion molecules. Promotes neuritogenesis in developing hippocampal neurons. Plays a role in acute neuroprotection against NMDA-induced excitotoxic neuronal death. Increases firing activity and intracellular calcium oscillations in luteinizing hormone-releasing hormone (LHRH) neurons. Inhibits early osteoblast proliferation at growth plate during skeletal development. Inhibits mature adipocyte differentiation and lipid accumulation. Involved in the recruitment of beta-arrestin 2 ARRB2 at the plasma membrane in epithelial cells. Functions also as a receptor for aldosterone mediating rapid regulation of vascular contractibility through the PI3K/ERK signaling pathway. Involved in cancer progression regulation. Stimulates cancer-associated fibroblast (CAF) proliferation by a rapid genomic response through the EGFR/ERK transduction pathway. Associated with EGFR, may act as a transcription factor activating growth regulatory genes (c-fos, cyclin D1). Promotes integrin alpha-5/beta-1 and fibronectin (FN) matrix assembly in breast cancer cells. {ECO:0000269|PubMed:11043579, ECO:0000269|PubMed:15539556, ECO:0000269|PubMed:15705806, ECO:0000269|PubMed:19179659, ECO:0000269|PubMed:19342448, ECO:0000269|PubMed:20203690, ECO:0000269|PubMed:20551055, ECO:0000269|PubMed:21149639, ECO:0000269|PubMed:21242460, ECO:0000269|PubMed:21427217, ECO:0000269|PubMed:23135268, ECO:0000269|PubMed:23283935, ECO:0000269|PubMed:23285008, ECO:0000269|PubMed:23674134}.",,,chromatin binding [GO:0003682]; G protein-coupled estrogen receptor activity [GO:0038054]; G protein-coupled receptor activity [GO:0004930]; nuclear estrogen receptor activity [GO:0030284]; steroid binding [GO:0005496]; steroid hormone binding [GO:1990239],,CHEMBL5872;
