gene,disease,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType
CYP11A1,Adrenal Gland Hypofunction,5048966,1583,0.471,0.913,0.8,2001,2001,disease
CYP11A1,"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE",50435815,1583,0.471,0.913,0.8,2001,2019,disease
CYP11A1,"DSDs, 46,XY",50328497,1583,0.471,0.913,0.65,2001,2001,disease
CYP11A1,LIPOID CONGENITAL ADRENAL HYPERPLASIA,35022229,1583,0.471,0.913,0.6000000000000001,2001,2001,disease
CYP11A1,"Adrenal Insufficiency, Congenital",50513820,1583,0.471,0.913,0.6000000000000001,2012,2012,disease
CYP11A1,Endometrial Neoplasm,10688117,1583,0.471,0.913,0.6000000000000001,2013,2013,disease
CYP11A1,AUTISM SPECTRUM DISORDER,45364107,1583,0.471,0.913,0.6000000000000001,2022,2022,disease
CYP11A1,Adrenogenital disorders,40407579,1583,0.471,0.913,0.6,,,disease
CYP11A1,cocaine use,50512324,1583,0.471,0.913,0.55,2012,2012,disease
CYP11A1,"ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY",50376889,1583,0.471,0.913,0.5,1993,2018,disease
CYP11A1,XY sex reversal adrenal failure,55432513,1583,0.471,0.913,0.4,2001,2008,disease
CYP11A1,Inherited isolated adrenal insufficiency due to partial cytochrome P450 family 11 subfamily A member 1 deficiency,55278579,1583,0.471,0.913,0.4,2011,2011,disease
CYP11A1,chronic obstructive pulmonary disease susceptibility,50640967,1583,0.471,0.913,0.4,,,phenotype
MCL1,Multiple Myeloma,15871481,4170,0.409,0.957,0.85,2002,2002,disease
MCL1,"Carcinoma, Non Small Cell Lung",5754335,4170,0.409,0.957,0.8,,,disease
MCL1,Lung Neoplasm,15603963,4170,0.409,0.957,0.75,2009,2017,disease
MCL1,Colorectal Neoplasm,10132238,4170,0.409,0.957,0.75,,,disease
MCL1,Lung adenocarcinoma,25308579,4170,0.409,0.957,0.65,,,disease
MCL1,Cutaneous T Cell Lymphoma,25127596,4170,0.409,0.957,0.6000000000000001,2003,2003,disease
