Protein,Protein Name,Protein Family,ChEMBL ID
SLC6A2,Sodium-dependent noradrenaline transporter,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A2 subfamily,CHEMBL222
SLC6A7,Sodium-dependent proline transporter,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A7 subfamily,CHEMBL3317335
CHRNA10,Neuronal acetylcholine receptor subunit alpha-10,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-10/CHRNA10 sub-subfamily,CHEMBL2109238
CHRNA10,Neuronal acetylcholine receptor subunit alpha-9,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-9/CHRNA9 sub-subfamily,CHEMBL2184
SLC6A8,Sodium- and chloride-dependent creatine transporter 1,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A8 subfamily,CHEMBL5209634
SLC6A8,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
SLC6A8,Serine/threonine-protein kinase Sgk3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL6186
SLC6A11,Sodium- and chloride-dependent GABA transporter 3,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A11 subfamily,CHEMBL5208
CHRND,Acetylcholine receptor subunit delta,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Delta/CHRND sub-subfamily,CHEMBL3011
CHRND,43 kDa receptor-associated protein of the synapse,Belongs to the RAPsyn family,CHEMBL2163166
HTR3B,5-hydroxytryptamine receptor 3B,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3B sub-subfamily,CHEMBL3895
HTR3B,5-hydroxytryptamine receptor 3A,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3A sub-subfamily,CHEMBL1899
CHRNA1,Acetylcholine receptor subunit alpha,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-1/CHRNA1 sub-subfamily,CHEMBL4808
CHRNA1,Acetylcholine receptor subunit epsilon,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Epsilon/CHRNE sub-subfamily,CHEMBL2484
CHRNA1,43 kDa receptor-associated protein of the synapse,Belongs to the RAPsyn family,CHEMBL2163166
CHRNA1,Acetylcholine receptor subunit delta,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Delta/CHRND sub-subfamily,CHEMBL3011
SLC6A4,Sodium-dependent serotonin transporter,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A4 subfamily,CHEMBL228
SLC6A4,Integrin beta-3,Belongs to the integrin beta chain family,CHEMBL1907598
SLC6A4,Nitric oxide synthase 1,Belongs to the NOS family,CHEMBL3568
SLC6A4,Protein transport protein Sec23A,Belongs to the SEC23/SEC24 family. SEC23 subfamily,CHEMBL4295827
SLC6A4,Vimentin,Belongs to the intermediate filament family,CHEMBL3712854
CHRNB4,Neuronal acetylcholine receptor subunit beta-4,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-4/CHRNB4 sub-subfamily,CHEMBL1907591
CHRNB4,Neuronal acetylcholine receptor subunit alpha-3,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-3/CHRNA3 sub-subfamily,CHEMBL3068
SLC6A15,Sodium-dependent neutral amino acid transporter B(0)AT2,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A15 subfamily,CHEMBL3351189
SLC6A15,Frizzled-7,Belongs to the G-protein coupled receptor Fz/Smo family,CHEMBL3559688
SLC6A3,Sodium-dependent dopamine transporter,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A3 subfamily,CHEMBL238
SLC6A3,Alpha-synuclein,Belongs to the synuclein family,CHEMBL6152
SLC6A3,Opsin-5,Belongs to the G-protein coupled receptor 1 family. Opsin subfamily,CHEMBL4523878
SLC6A3,Nuclear receptor subfamily 4 group A member 2,Belongs to the nuclear hormone receptor family. NR4 subfamily,CHEMBL5002
SLC6A3,Pancreatic lipase-related protein 2,Belongs to the AB hydrolase superfamily. Lipase family,CHEMBL2169728
SLC6A3,Prosaposin receptor GPR37,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523862
SLC6A3,D(2) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL217
SLC6A3,Synaptic vesicular amine transporter,Belongs to the major facilitator superfamily. Vesicular transporter family,CHEMBL1893
HTR2C,5-hydroxytryptamine receptor 2C,Belongs to the G-protein coupled receptor 1 family,CHEMBL225
